,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,21.98,0.7,0.43,0.34,0.29,0.33,0.79,0.61,0.58,0.78,0.67,0.13,0.67,0.5,0.77,0.44
e_1,0.45,22.4,0.31,0.23,0.32,0.31,0.72,1.65,0.79,0.71,1.05,0.88,0.92,0.21,1.17,0.83
c_1,0.3,0.32,26.39,0.37,0.75,0.38,0.66,0.72,0.65,0.14,0.49,0.7,0.76,0.68,0.67,0.99
d_1,0.37,0.34,0.24,31.6,0.29,0.27,0.81,0.15,0.72,1.89,0.93,0.7,1.14,0.93,0.67,1.03
b_1,0.31,0.29,0.29,0.39,31.77,0.83,0.58,0.76,0.7,0.68,0.17,1.03,0.96,1.0,0.54,0.9
a_1,0.35,0.32,0.33,0.43,0.26,46.39,0.66,0.88,0.68,0.63,0.83,0.89,1.11,1.07,0.22,0.89
h_1,0.9,0.58,0.6,0.61,0.68,0.5,9.63,1.24,1.76,1.38,1.23,1.4,0.49,1.72,1.21,1.76
d_0,0.74,0.49,1.57,0.2,0.49,0.43,1.43,5.01,1.61,1.3,1.75,1.48,1.87,1.76,1.74,1.83
g_1,0.59,0.4,0.54,1.16,0.73,0.5,1.22,1.25,12.4,1.73,1.5,2.36,1.29,1.58,1.55,0.39
c_0,0.89,0.6,0.34,0.93,0.41,0.49,1.3,1.38,1.42,6.08,4.36,1.8,1.7,1.45,1.96,1.63
b_0,0.75,0.69,0.63,0.74,0.22,0.57,1.85,1.63,1.41,1.54,7.23,1.82,1.42,1.73,3.73,1.77
f_0,0.22,0.56,0.91,0.7,0.78,0.75,1.63,2.01,1.53,1.25,1.86,8.2,1.6,3.7,1.36,2.3
h_0,0.75,0.54,0.78,0.75,0.67,0.65,0.39,1.5,1.72,1.84,1.42,1.36,0.8,2.21,1.29,2.41
e_0,0.69,0.11,1.31,0.55,0.79,0.67,1.82,1.29,1.28,1.85,1.44,2.21,1.93,8.74,1.21,2.3
a_0,0.6,0.57,0.86,0.58,0.64,0.29,1.74,1.66,1.62,1.46,1.84,1.64,1.92,1.41,9.52,2.17
g_0,0.38,0.52,0.74,1.19,0.83,0.51,1.4,1.39,0.45,1.34,1.28,3.13,1.41,2.11,1.1,0.63
