,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,8846.56,3928.03,3989.18,5028.89,5689.01,20983.67,2733187.07,6304167.66,6557373.94,14531784.41,23572184.22,10701380.74,107301387.67,75815666.06,120146960.4,191581246.98
e_1,2606.62,9389.32,3633.67,4358.05,6678.99,22806.78,2788617.25,14774202.27,9912145.06,14709566.88,34488418.28,35656327.03,147869330.59,55461470.93,173057020.9,302495780.38
c_1,1873.37,2025.73,17057.57,5705.12,13705.88,24427.01,2507735.95,6485021.98,8117189.21,4092021.71,17258150.67,27752778.8,112613244.38,103184131.95,101719220.45,323913708.81
d_1,2236.48,2280.61,2578.24,30297.65,6108.7,19777.24,3287641.92,2793836.12,8447623.96,31899297.28,31770611.2,30528529.96,156899871.82,140050457.14,119573091.65,356064599.72
b_1,1830.64,1934.02,3285.24,5694.46,41124.72,56999.46,2284801.1,7564879.48,7098348.69,12763199.53,8833794.17,37051073.13,147138739.65,141896646.74,89396716.05,313351239.41
a_1,2391.51,1985.98,3502.21,6372.22,5782.07,206109.08,2715466.37,7730760.5,7932377.21,12583398.43,29547573.43,33332121.99,156741671.46,154100040.79,65248334.32,302203329.9
h_1,3392.7,2342.27,4098.07,6649.76,8552.0,26721.62,9360145.78,8073368.5,13942231.81,18874422.87,29473569.94,35916627.05,75459918.97,178213565.87,120083858.0,478426881.14
d_0,2822.86,2113.17,8615.11,3319.03,8935.64,22671.51,3759723.83,18167826.27,12252430.35,13838262.15,32237843.61,34150851.46,181861562.05,175859148.18,171500516.87,433281009.23
g_1,2363.01,1863.1,3942.78,11176.18,8437.79,30979.27,3413842.78,8352683.67,37143479.35,21029532.72,37140442.12,55234170.73,155073594.96,174261274.84,137098798.13,243398210.43
c_0,3098.24,2661.98,3085.26,8204.09,5178.97,26868.55,3389641.8,8890271.52,11330506.31,42055589.48,72850120.75,50491060.02,173620177.21,152303189.81,182077563.21,364961048.99
b_0,3045.98,2774.5,4418.25,7418.57,5768.02,22798.7,4111006.62,9010071.94,11870928.94,18081749.75,82889091.64,41862975.65,151206213.35,149538673.21,315970176.66,423849892.18
f_0,1421.52,2098.1,5144.2,7472.47,9353.07,34988.1,3962611.43,10733930.09,12256290.25,17118694.02,34910354.89,105616220.15,175724484.58,314507277.45,129357660.9,503323555.81
h_0,3160.72,2594.23,4562.8,6571.47,8919.16,32180.63,1747590.31,8988905.13,14408375.81,21521202.57,32311073.03,34990940.79,112022972.5,193736185.9,132050977.87,622013152.0
e_0,2996.57,839.53,6519.52,6223.38,9966.39,36046.03,4111949.79,8036693.11,10910323.6,20935958.68,33182854.03,49679760.78,192979464.92,467077351.41,122489909.8,484029069.45
a_0,2699.17,2575.68,5528.41,6292.15,8526.28,16269.79,3746215.69,10098831.18,12501663.62,20624544.08,33008394.18,38843534.51,187607533.36,177508061.26,495373557.88,517747164.6
g_0,2057.38,2085.44,4826.05,11224.2,9649.99,26924.17,3727651.4,8270686.63,6760937.04,18711992.38,29849276.99,69267780.75,149482506.16,184748731.5,126056282.69,244519861.17
