,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.46,24.55,31.64,26.35,27.82,32.21,6.37,5.95,7.89,6.02,7.24,,4.29,9.72,7.59,6.27
e_1,15.86,0.46,27.52,33.68,36.86,32.01,8.55,6.76,14.38,6.84,5.09,9.52,6.14,,7.16,4.8
c_1,27.29,45.23,0.43,46.27,43.41,39.68,9.76,3.43,9.38,,9.36,6.73,5.17,4.55,5.62,4.7
d_1,29.79,66.22,35.62,0.41,32.81,32.38,8.95,,6.78,6.66,10.31,6.13,4.41,8.6,8.5,2.77
b_1,41.89,45.82,21.08,48.39,0.39,49.28,8.67,10.64,8.26,10.32,,6.89,4.01,6.57,6.86,4.3
a_1,38.09,49.61,35.87,57.63,22.53,0.33,12.54,12.24,13.56,,8.5,11.28,6.62,6.64,,
h_1,14.74,17.4,18.62,15.7,23.05,16.68,0.38,3.58,4.96,4.1,3.12,3.42,,2.39,3.27,2.39
d_0,16.87,8.44,14.07,,16.1,15.2,4.53,0.51,4.71,4.55,2.6,2.08,1.86,3.72,2.09,2.18
g_1,25.13,22.17,21.19,20.48,18.45,23.84,4.75,4.93,0.33,4.34,3.95,3.47,2.29,3.36,3.73,
c_0,15.9,18.09,,8.01,21.12,,3.52,3.67,4.15,0.48,2.89,4.45,1.58,2.64,3.03,2.27
b_0,21.69,15.48,24.72,16.34,,17.63,4.92,3.79,4.41,1.42,0.45,3.12,2.21,4.52,4.88,2.92
f_0,,17.59,20.17,24.0,15.01,15.44,5.22,4.0,3.51,2.83,3.47,0.42,2.45,4.83,,1.23
h_0,15.61,12.58,13.26,9.96,11.1,9.18,,2.28,3.96,2.26,2.91,3.57,,2.59,,2.67
e_0,42.73,,24.24,20.43,18.16,16.65,4.85,3.69,5.05,4.15,4.65,2.4,2.0,0.38,,1.94
a_0,19.48,15.39,25.61,26.12,31.19,,7.07,3.26,5.35,4.13,2.31,,,,0.37,
g_0,36.34,17.23,13.18,13.65,13.34,,3.54,2.83,,3.01,2.88,2.76,1.39,2.8,,
