,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,14.53,0.59,0.51,0.71,0.59,0.57,0.9,0.93,0.96,1.87,0.85,0.94,0.92,1.03,0.42,0.9
f_1,1.32,15.89,0.45,0.6,0.47,0.54,0.76,0.71,0.72,0.82,0.37,0.85,0.99,0.86,0.66,0.79
d_1,0.45,0.55,17.84,0.4,0.54,0.61,1.0,0.91,2.35,0.46,1.05,1.19,0.96,0.76,1.15,1.01
c_1,0.49,0.46,0.56,19.11,1.34,0.52,0.9,0.83,0.24,0.85,0.98,0.61,0.89,0.78,0.89,0.87
b_1,0.47,0.64,0.52,0.61,20.43,1.25,0.86,0.89,0.69,0.76,0.96,0.36,0.55,1.06,0.78,0.84
a_1,0.67,0.56,0.61,0.47,0.44,29.8,0.93,0.86,0.9,0.97,1.05,0.95,0.5,1.2,1.27,1.02
h_1,0.53,1.33,0.76,0.74,0.66,0.68,4.68,1.56,1.0,0.99,0.92,1.49,1.24,0.82,1.26,1.75
g_1,0.6,0.63,1.43,0.82,0.74,0.53,0.8,5.53,1.07,0.88,2.11,1.11,0.97,1.46,0.94,0.97
c_0,0.56,0.86,1.15,0.55,0.48,0.72,1.25,1.07,2.94,1.03,1.31,3.91,1.44,1.58,1.63,1.53
d_0,0.66,0.85,0.41,1.78,0.73,0.45,1.13,1.29,0.88,2.9,1.18,1.2,1.4,1.46,1.48,1.08
f_0,0.53,0.42,1.03,0.86,0.59,0.7,1.34,1.05,1.43,1.39,4.12,1.27,1.26,1.32,4.03,1.47
b_0,0.62,0.92,0.86,0.99,0.26,0.54,1.12,1.16,1.21,1.27,1.61,3.87,3.53,1.35,1.45,1.57
a_0,0.63,1.06,0.98,0.82,0.6,0.34,1.3,1.26,1.13,1.13,1.34,1.27,4.96,1.47,1.24,1.43
h_0,0.66,1.4,0.93,0.63,0.64,0.7,0.61,1.74,1.02,0.98,1.14,1.04,1.05,0.82,0.99,1.61
e_0,0.42,0.97,0.78,0.78,0.9,0.59,1.15,0.99,1.21,1.18,1.38,1.55,1.61,1.42,4.96,1.29
g_0,0.63,0.54,1.69,0.76,0.59,0.6,1.03,0.69,1.14,0.97,2.16,1.42,1.24,1.24,1.45,0.86
