,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,9198.02,3040.24,2819.68,6359.5,7702.19,27768.19,2836019.14,5153263.84,12678189.13,24189412.37,21386052.1,23701922.1,61940611.73,115767069.47,41506768.8,224912746.06
f_1,3890.92,13151.11,2446.97,5649.42,6223.14,27520.21,2473514.89,3890377.35,9770534.78,12987194.88,9069712.81,21939799.2,66407869.76,103390292.83,73002102.82,210531732.49
d_1,1802.69,2808.12,14086.38,3998.84,7456.21,30450.95,2955640.38,5111543.71,23383683.43,6788526.65,26282980.28,28438589.53,65198166.8,85602830.99,126403096.32,243128548.86
c_1,2011.12,2449.39,2825.89,29013.97,14136.06,25622.5,2893712.65,4559745.37,2786796.79,13351888.53,25310056.15,17313431.36,61953377.62,91119358.37,94051009.63,225055681.38
b_1,1911.36,3210.36,2698.09,5575.68,44233.79,52519.64,2827372.42,4879456.34,9457734.36,12276333.13,24367923.89,9577890.57,40122743.16,123475536.17,86487712.95,221366583.39
a_1,2486.26,2886.37,2973.16,4412.01,6386.26,238635.89,2764746.88,4703592.89,11550368.61,14365387.71,25937165.91,23923646.38,32332303.27,133041710.3,129097556.54,245198665.53
h_1,2121.52,5180.27,3618.19,6579.66,7860.81,32020.58,8955357.63,7629169.71,13026896.3,15242639.75,25068424.81,34518563.85,84672943.9,89254136.58,133735062.46,394146722.39
g_1,2283.69,3098.21,5561.42,7507.31,9006.67,27176.42,2514349.26,18404560.32,12701525.16,13515842.18,41945060.64,28297752.79,71932368.17,154533092.85,88014793.58,210165249.03
c_0,2046.69,3968.0,5049.21,4413.56,6203.46,35798.39,3496884.9,5936366.62,29308547.02,15980144.06,31284846.32,69990183.45,96328756.99,160017855.99,163677588.31,376466933.58
d_0,2490.24,3931.72,1963.17,12354.9,8753.49,23331.04,3393987.87,6632817.4,11799877.41,35387698.88,28067493.86,31077606.99,93087163.81,162704955.92,139826161.44,270340854.4
f_0,2000.49,1967.72,4650.27,7978.99,7576.39,33622.02,3571404.15,6097715.76,16167578.88,21138512.81,73932295.06,32605681.77,83376808.52,143972167.27,328169622.76,349269098.94
b_0,2099.62,4052.21,4192.96,8114.83,3702.62,28153.83,3488543.62,6414414.46,14383298.63,18429286.78,37034350.75,73184045.06,171400534.58,150734996.71,150297189.38,370496654.33
a_0,2225.6,4701.04,4365.19,6673.17,7709.41,13527.82,3896883.18,6027224.43,13780739.72,17606844.22,29907351.61,29781812.72,246029549.09,146520265.81,129991079.75,342857818.02
h_0,2434.21,5564.94,4370.95,5390.0,7623.94,35396.84,1980466.15,8683416.25,13770973.07,14818078.5,27286060.21,26704200.91,70613914.7,86310818.35,104821238.33,387363400.17
e_0,1310.23,4228.77,3955.87,7014.87,10987.2,31634.59,3411209.24,5853324.46,15380614.52,18032600.29,33379445.2,39078673.96,105493104.81,154239026.52,411066778.58,289449379.76
g_0,2401.61,2826.64,6481.83,6740.37,8212.43,26762.3,3126307.28,3646107.36,13377516.7,14864097.38,46687512.11,34453187.78,83995560.34,146728391.19,145466208.29,221350514.38
