,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.32,1.17,0.92,1.26,0.96,0.79,1.93,2.0,2.12,3.46,1.92,2.09,1.91,2.79,1.41,2.36
f_1,1.76,2.4,0.94,1.05,0.86,0.77,1.89,1.57,1.96,2.4,1.26,1.97,1.78,2.44,1.3,2.03
d_1,1.05,1.11,2.43,0.81,0.92,0.92,2.11,1.92,3.75,1.47,2.24,2.6,1.87,2.52,1.96,2.85
c_1,0.95,0.98,1.05,2.57,1.73,0.85,2.03,1.76,1.25,1.96,2.01,1.36,1.77,2.43,1.88,2.14
b_1,1.02,1.09,1.05,1.04,2.67,1.53,1.86,1.87,1.99,1.87,2.11,1.33,1.29,2.62,1.68,2.27
a_1,1.21,1.12,1.12,1.01,0.88,3.11,2.23,2.0,2.2,2.33,2.09,2.19,1.41,3.21,2.08,2.59
h_1,1.12,1.49,1.12,1.1,1.03,0.86,3.45,2.43,2.07,2.05,1.88,2.35,1.84,2.24,1.91,3.07
g_1,1.11,1.09,1.58,1.08,1.09,0.79,1.92,3.58,2.25,1.9,2.85,1.87,1.76,2.9,1.93,2.2
c_0,1.2,1.28,1.29,0.94,0.87,0.91,2.25,2.05,3.42,2.25,2.3,4.03,2.46,3.08,2.34,3.06
d_0,1.1,1.27,0.89,1.81,1.18,0.73,2.0,1.9,1.7,3.27,1.95,1.95,2.0,2.99,2.11,2.42
f_0,1.0,1.02,1.26,1.21,0.99,0.91,2.08,1.89,2.49,2.68,3.75,2.39,2.26,2.78,4.06,3.19
b_0,1.17,1.41,1.23,1.23,0.84,0.67,2.19,2.01,2.36,2.54,2.39,3.62,3.91,3.0,2.01,3.23
a_0,1.2,1.32,1.2,1.13,0.98,0.69,2.35,2.15,2.36,2.27,2.4,2.22,3.95,2.92,1.75,2.92
h_0,1.22,1.59,1.22,1.03,0.97,0.89,1.59,2.37,2.25,2.14,2.02,1.91,1.9,2.41,1.64,3.21
e_0,1.07,1.39,1.19,1.03,1.17,0.75,2.32,1.86,2.44,2.35,2.51,2.58,2.38,2.79,3.78,2.77
g_0,1.12,1.04,1.68,1.08,0.96,0.77,1.94,1.56,2.37,2.04,3.19,2.34,2.15,2.67,2.32,2.29
