,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,15.0,0.58,0.49,0.72,0.56,0.59,0.91,0.89,0.91,2.08,1.07,1.03,0.99,0.91,0.55,1.04
f_1,1.25,15.69,0.56,0.53,0.42,0.5,0.77,0.71,0.86,0.75,0.94,0.42,0.88,0.76,0.6,0.76
d_1,0.51,0.67,17.95,0.38,0.45,0.52,1.13,1.05,2.07,0.4,1.18,1.09,0.95,1.01,1.05,1.02
c_1,0.52,0.53,0.4,18.84,1.6,0.4,0.68,0.78,0.32,0.97,0.69,0.89,0.87,0.91,0.91,0.81
b_1,0.43,0.58,0.54,0.58,21.71,1.58,0.78,0.82,0.8,0.69,0.38,0.73,0.8,0.7,0.95,0.83
a_1,0.51,0.5,0.72,0.73,0.44,34.01,0.99,0.72,0.77,1.04,0.82,0.91,1.4,0.37,0.97,1.11
h_1,0.65,1.14,0.81,0.73,0.62,0.61,4.78,1.58,1.03,0.88,1.12,0.89,0.62,1.31,1.19,1.94
g_1,0.46,0.54,1.88,0.54,0.63,0.67,1.23,6.38,1.18,0.7,0.87,2.54,1.29,1.09,1.2,0.72
c_0,0.8,0.84,0.91,0.45,0.49,0.72,1.15,1.24,2.85,1.02,3.02,1.33,1.44,1.51,1.3,1.41
d_0,0.65,0.66,0.29,2.27,0.82,0.57,1.01,1.08,0.79,2.99,1.01,1.31,1.18,1.42,1.3,1.24
b_0,0.85,0.83,0.78,0.71,0.36,0.51,1.28,1.09,1.12,1.37,3.46,1.5,1.49,3.23,1.66,1.25
f_0,0.43,0.49,0.88,0.95,0.63,0.68,1.25,1.33,1.24,1.45,1.42,3.75,1.57,1.44,4.12,1.12
h_0,0.68,1.48,0.87,0.6,0.56,0.65,0.69,1.45,1.17,1.16,0.99,1.33,0.8,1.37,1.32,1.85
a_0,0.77,0.68,1.13,0.74,0.76,0.42,1.13,1.15,1.34,0.96,1.25,1.04,1.37,3.73,0.99,1.29
e_0,0.35,0.84,0.91,1.06,0.76,0.66,1.25,1.17,1.03,1.27,1.55,1.37,1.42,1.54,4.88,1.34
g_0,0.67,0.71,1.48,0.62,0.59,0.65,1.35,0.8,1.14,0.94,1.25,2.2,1.0,1.35,1.34,0.83
