,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,6.09,2.75,2.45,3.42,3.09,2.8,10.66,9.45,12.71,20.85,13.86,15.16,19.76,14.17,11.49,20.93
f_1,4.51,6.22,2.55,2.81,2.32,2.53,9.94,9.78,11.99,12.87,13.29,9.84,18.53,14.56,9.49,17.75
d_1,2.71,3.25,6.26,2.23,2.44,2.65,10.86,11.35,21.91,9.58,15.87,14.73,21.13,16.49,17.61,21.9
c_1,2.71,2.81,2.35,6.89,5.29,3.02,9.22,9.29,8.14,12.81,9.6,11.95,18.41,14.12,12.6,16.88
b_1,2.66,2.86,2.84,2.6,8.1,6.29,10.09,9.85,11.83,11.2,9.19,11.45,20.82,12.03,13.22,20.09
a_1,2.5,3.07,3.24,3.02,2.57,12.33,9.64,9.32,13.65,14.21,13.47,12.96,24.55,11.1,15.7,22.12
h_1,2.92,3.67,3.19,3.07,3.04,2.72,18.19,13.92,13.08,11.89,13.61,13.86,15.71,18.22,16.24,27.92
g_1,2.47,2.68,4.54,2.49,2.9,3.1,11.2,22.35,15.42,10.06,12.9,21.47,23.54,17.68,17.16,18.73
c_0,3.25,3.35,3.32,2.58,2.5,2.86,11.48,11.77,19.42,13.22,22.43,14.68,22.83,21.12,17.89,26.37
d_0,2.7,2.9,2.36,5.1,3.57,2.8,10.14,10.7,9.92,19.82,12.49,15.0,19.69,17.44,16.86,20.63
b_0,3.26,3.3,3.06,3.37,2.43,2.45,11.6,10.74,13.14,15.26,21.61,15.28,23.42,30.47,17.27,23.93
f_0,2.32,2.96,3.25,3.47,3.05,2.94,12.41,11.42,14.25,14.19,15.28,23.81,24.29,18.88,33.59,21.53
h_0,3.21,4.1,3.28,2.63,2.65,2.61,8.65,12.48,14.25,12.49,12.69,15.72,18.51,17.26,17.26,28.72
a_0,3.18,3.15,3.5,2.97,3.12,2.91,11.27,10.41,15.07,12.82,13.36,13.6,23.01,26.97,15.54,24.11
e_0,2.27,3.16,3.19,4.04,3.47,2.65,10.85,9.17,13.72,14.02,15.14,14.54,22.72,20.1,30.35,24.04
g_0,2.83,2.88,4.14,2.78,2.89,2.53,11.53,9.36,15.74,11.94,14.08,20.32,20.83,17.77,19.88,20.15
