,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.06,0.87,0.57,0.92,0.72,0.68,1.02,0.95,1.62,0.82,0.93,1.02,0.99,0.98,0.56,0.93
f_1,1.36,2.11,0.67,0.79,0.56,0.59,0.88,0.83,0.9,0.92,0.6,0.98,0.96,0.88,0.73,0.76
d_1,0.7,0.81,2.3,0.61,0.76,0.69,0.96,1.01,0.53,1.68,0.93,1.15,1.05,1.1,1.03,0.93
c_1,0.63,0.68,0.79,2.33,1.28,0.69,0.94,0.8,0.95,0.53,0.9,0.71,0.98,0.92,0.92,1.05
b_1,0.66,0.7,0.85,0.69,2.33,1.41,0.89,0.92,0.84,0.9,1.15,0.64,0.98,0.78,1.12,1.05
a_1,0.68,0.86,0.87,0.71,0.72,3.28,1.01,1.04,0.95,1.07,1.07,1.02,1.1,0.61,1.26,0.96
h_1,0.79,1.09,0.96,0.91,0.73,0.75,1.98,1.25,0.98,0.94,0.96,1.09,0.76,0.98,1.23,1.52
g_1,0.75,0.71,1.23,0.85,0.88,0.63,1.09,2.37,0.87,1.07,1.67,0.89,0.95,1.09,1.19,0.91
d_0,0.8,0.89,0.54,1.53,0.78,0.83,0.96,0.98,1.67,0.78,1.01,1.03,1.07,1.02,1.01,0.98
c_0,0.95,0.85,0.98,0.6,0.68,0.77,1.15,1.01,1.04,1.69,1.11,2.16,0.97,1.45,1.06,1.2
f_0,0.6,0.69,0.94,1.0,1.01,0.91,1.14,1.1,1.04,0.91,2.06,1.04,1.21,1.11,2.37,1.47
b_0,0.79,0.9,0.94,0.99,0.69,0.51,1.02,1.15,1.11,1.11,1.15,2.08,1.14,2.54,1.16,1.11
h_0,0.83,1.12,0.93,0.81,0.74,0.74,0.67,1.54,1.04,0.97,1.04,1.11,0.71,1.22,0.93,1.41
a_0,0.92,0.91,0.82,0.89,0.96,0.31,1.12,1.19,1.06,1.08,1.33,1.18,1.0,2.58,1.08,1.36
e_0,0.57,0.95,1.09,0.79,0.84,0.79,1.27,1.12,1.06,1.18,1.04,1.23,1.21,1.14,2.4,1.18
g_0,0.57,0.81,1.43,0.82,0.8,0.95,0.92,0.86,0.72,1.06,1.81,1.06,1.06,0.91,1.42,0.96
