,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.49,0.15,0.08,0.09,0.08,0.06,0.31,0.26,0.48,0.36,0.3,,0.62,0.29,0.43,0.26
e_1,0.08,5.55,0.07,0.08,0.06,0.05,0.27,0.27,0.39,0.76,0.45,0.36,0.59,0.37,0.43,
d_1,0.07,0.07,6.05,0.06,0.08,0.09,0.28,0.29,0.75,,0.35,0.45,0.72,0.24,0.57,0.39
c_1,0.08,0.07,0.08,6.6,0.14,0.07,0.3,0.34,,0.4,0.28,0.43,0.63,0.46,0.51,0.31
b_1,0.08,0.1,0.1,0.08,8.19,0.12,0.22,0.28,0.26,0.35,,0.33,0.67,0.38,0.53,0.33
a_1,0.06,0.08,0.09,0.08,0.09,11.26,0.33,,0.3,0.36,0.35,0.33,0.76,,0.61,0.53
h_1,0.42,0.25,0.26,0.23,0.37,0.22,13.82,1.68,1.32,1.71,1.39,1.16,,1.31,2.91,1.3
g_1,0.33,0.22,0.39,0.3,0.2,0.35,1.27,17.75,1.31,1.26,1.49,1.88,1.83,1.24,,1.56
c_0,0.39,0.35,0.34,,0.35,0.42,2.04,1.59,12.42,1.03,3.72,1.96,3.13,1.39,2.92,1.84
d_0,0.38,0.46,,0.75,0.42,0.42,1.58,0.99,1.83,12.04,1.68,2.03,2.61,1.21,3.69,1.85
b_0,0.34,0.35,0.41,0.36,,0.3,1.95,1.67,1.3,2.24,13.4,1.54,2.64,3.62,3.41,1.77
f_0,,0.25,0.45,0.4,0.45,0.38,1.36,1.3,2.16,2.03,1.91,14.97,2.67,2.63,2.05,4.24
h_0,0.73,0.56,0.49,0.61,0.49,0.46,,2.58,2.86,2.53,3.11,3.3,,2.68,7.25,2.97
a_0,0.51,0.32,0.44,0.32,0.31,,1.66,1.51,1.29,2.13,1.61,2.08,2.39,20.1,2.46,2.64
g_0,0.44,0.49,0.84,0.51,0.33,0.8,1.54,,3.68,3.04,3.06,4.36,4.78,2.81,,
e_0,0.43,,0.33,0.36,0.53,,1.3,1.46,1.95,2.18,2.0,1.67,3.8,2.64,,23.32
