,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.41,0.61,0.56,0.62,0.59,0.56,0.28,0.32,0.24,0.28,0.24,0.29,0.18,0.24,0.25,0.25
e_1,0.45,0.41,0.6,0.68,0.62,0.56,0.33,0.36,0.27,0.33,0.28,0.33,0.23,0.3,0.25,0.32
d_1,0.64,0.7,0.39,0.56,0.51,0.49,0.31,0.25,0.3,0.32,0.3,0.26,0.22,0.26,0.16,0.24
c_1,0.58,0.48,0.67,0.38,0.71,0.6,0.32,0.3,0.29,0.18,0.26,0.26,0.22,0.26,0.22,0.26
b_1,0.65,0.59,0.65,0.39,0.34,0.67,0.31,0.31,0.35,0.25,0.34,0.26,0.27,0.25,0.28,0.28
a_1,0.67,0.62,0.64,0.58,0.36,0.29,0.34,0.31,0.3,0.27,0.37,0.25,0.24,0.3,0.25,0.25
h_1,0.61,0.57,0.58,0.57,0.55,0.52,0.23,0.33,0.24,0.27,0.25,0.25,0.24,0.23,0.23,0.26
g_1,0.59,0.54,0.58,0.56,0.58,0.55,0.24,0.21,0.27,0.25,0.25,0.28,0.19,0.24,0.22,0.29
c_0,0.69,0.64,0.39,0.72,0.55,0.53,0.33,0.32,0.22,0.32,0.31,0.26,0.23,0.27,0.19,0.25
d_0,0.55,0.41,0.64,0.71,0.58,0.56,0.33,0.35,0.27,0.22,0.26,0.28,0.23,0.24,0.22,0.26
b_0,0.62,0.58,0.45,0.76,0.58,0.47,0.31,0.33,0.17,0.31,0.21,0.26,0.21,0.36,0.21,0.23
f_0,0.69,0.56,0.55,0.56,0.61,0.54,0.31,0.25,0.23,0.25,0.25,0.2,0.21,0.24,0.15,0.28
h_0,0.62,0.56,0.55,0.59,0.52,0.5,0.34,0.32,0.24,0.26,0.22,0.26,0.25,0.24,0.22,0.22
a_0,0.61,0.53,0.53,0.57,0.7,0.61,0.32,0.29,0.23,0.3,0.16,0.27,0.21,0.19,0.21,0.27
g_0,0.61,0.57,0.61,0.62,0.48,0.43,0.24,0.36,0.23,0.28,0.25,0.3,0.18,0.26,0.22,0.24
e_0,0.69,0.65,0.53,0.54,0.55,0.53,0.29,0.25,0.23,0.26,0.24,0.16,0.23,0.24,0.22,0.17
