,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,10592.68,4148.31,4649.1,8770.94,13921.93,60001.36,6750802.7,10397708.98,30518626.78,17631076.06,38052693.59,40052314.85,165344384.58,218520620.52,161101891.36,455202046.06
f_1,6872.4,11161.17,4353.35,7023.54,10899.23,50439.4,6210513.62,9019798.73,17988028.89,20530505.27,23207400.9,41325747.33,150765927.58,156561018.38,137516611.28,437175126.17
d_1,3539.12,4457.02,15464.3,5581.2,11309.31,49751.35,6986191.53,11233483.48,9432634.23,41056760.27,37934369.95,54782029.89,176284120.68,234654307.85,218799671.22,512278632.37
c_1,3716.93,3992.4,4316.68,21335.17,26558.69,52809.91,6374502.62,10342136.21,16386445.55,10444601.35,34092861.05,25459754.59,153615608.2,178868540.53,194130992.55,383907623.16
b_1,3380.73,3926.25,5200.4,6863.61,47812.39,108603.3,6031690.43,11678907.04,18908336.41,18874262.79,36898162.29,23184627.42,150899936.95,146769468.0,181884762.2,366789623.25
a_1,4048.18,3829.86,6221.92,8789.52,13172.75,265241.52,7694980.24,10353006.57,19869034.66,23418139.42,36857816.54,38554848.71,158705675.08,124927985.64,190882815.73,422679844.92
h_1,3935.51,6076.87,6375.14,7553.31,11439.49,55490.29,15386484.59,18488989.38,19094569.6,22780327.4,39579913.34,43120554.48,141047287.41,207271167.73,227353573.02,622823555.09
g_1,3751.22,4340.92,9043.16,7260.31,13988.8,55894.51,6831138.99,27778689.22,15553606.7,26095265.99,61163047.93,39182866.78,170001652.66,235822330.71,279750798.02,459860972.24
d_0,4482.65,4930.61,3551.78,14331.2,17044.38,50810.38,6744427.03,10118737.73,29544378.08,15223397.79,34928737.91,40899204.15,188538467.44,232711830.64,212708389.94,425566342.62
c_0,4291.77,5095.66,6652.39,6386.07,9690.78,64755.5,7914682.13,11277105.88,21120034.72,42446911.79,47135646.82,89173435.9,196603105.91,254715802.06,248671980.29,587184278.31
f_0,3659.36,3865.68,7024.05,8566.96,15610.57,64161.54,7905912.24,13111214.46,21936749.36,25750536.03,79321352.0,54196008.0,178291336.48,216063356.25,518176641.87,582414730.92
b_0,4510.4,5281.33,5987.47,8347.18,10027.99,49928.12,6842564.02,12624373.1,20904212.19,25371425.27,43836124.7,82630212.12,192478894.97,472944708.69,217813595.13,560996301.45
h_0,4356.49,6458.07,7174.23,6867.88,14068.33,53158.76,4979104.86,16343128.83,14805635.51,27428691.97,37338063.86,42863920.03,143228186.64,215074317.57,191830212.06,631876360.46
a_0,4041.91,4936.36,6215.74,8375.46,15273.05,51547.89,8223944.35,12745309.91,18968895.76,26809671.9,38349847.06,50964046.34,207287791.56,459709715.59,217988877.34,535851730.38
e_0,3483.85,5322.37,6510.58,8337.73,15582.44,48848.59,8379354.67,14110058.67,20341075.81,27760469.76,37939664.68,57897399.49,209528740.66,217634726.12,490346354.77,547061169.28
g_0,3929.74,4239.0,9924.13,7097.63,12902.55,50053.82,7359510.9,9189238.26,16773756.24,25859450.68,63614845.62,50450359.05,180433387.95,253140089.29,287937140.14,405660805.43
