,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,22.33,0.35,0.23,0.34,0.27,0.41,0.67,1.77,0.68,0.87,1.1,0.89,1.0,1.12,0.86,0.3
f_1,0.63,22.74,0.32,0.36,0.35,0.28,0.82,0.67,0.65,0.94,0.61,0.13,0.68,0.86,0.72,0.48
d_1,0.32,0.37,27.03,0.27,0.33,0.38,0.79,0.16,0.69,1.61,0.81,0.9,0.89,0.82,0.83,0.93
c_1,0.32,0.35,0.38,28.44,0.7,0.27,0.61,0.73,0.81,0.12,0.7,0.68,0.7,0.72,0.5,0.77
b_1,0.31,0.29,0.38,0.32,37.22,0.71,0.83,0.56,0.77,0.52,0.16,0.93,0.71,0.91,0.72,1.14
a_1,0.28,0.31,0.35,0.37,0.31,48.58,0.79,0.81,0.75,0.86,0.74,0.86,0.16,1.22,1.46,0.76
h_1,0.54,0.89,0.73,0.62,0.64,0.54,8.87,0.94,1.74,1.44,1.48,1.51,1.48,0.51,2.05,1.7
d_0,0.49,0.68,0.17,1.64,0.83,0.69,1.19,5.05,1.33,1.1,1.51,1.38,1.24,1.53,1.37,1.68
g_1,0.51,0.51,1.15,0.65,0.49,0.57,1.12,1.1,12.72,1.3,1.34,2.96,1.22,1.11,0.69,1.68
c_0,0.84,0.73,0.71,0.22,0.72,0.69,1.15,1.76,1.07,5.6,3.12,1.67,1.16,1.64,2.09,1.4
b_0,0.62,0.86,0.8,0.72,,0.43,1.41,1.67,1.41,1.3,6.94,1.63,2.94,1.39,1.98,1.83
f_0,0.64,0.24,0.86,0.79,0.64,0.69,1.3,1.68,1.23,1.26,1.61,7.39,1.77,1.68,2.01,3.66
a_0,0.53,0.69,0.79,0.89,0.68,,1.63,1.9,1.07,1.45,1.73,1.5,9.13,1.78,1.8,1.91
h_0,0.57,1.06,0.69,0.6,0.42,0.84,0.62,1.67,1.78,1.03,1.32,1.33,1.35,0.6,2.61,1.12
g_0,0.59,0.51,1.21,0.74,0.55,0.52,1.45,1.38,,1.17,1.89,2.6,1.49,1.51,0.68,1.49
e_0,0.13,1.08,0.79,0.79,0.71,0.74,1.36,1.45,1.38,1.36,1.44,1.38,1.5,1.59,2.01,8.57
