,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.14,5.96,10.83,10.63,10.99,12.16,3.29,2.62,3.46,1.77,2.25,2.2,2.46,1.68,1.62,11.19
f_1,10.11,1.14,9.46,10.05,12.07,11.29,2.28,2.23,3.25,2.1,1.77,8.51,2.17,0.99,1.86,1.42
d_1,17.3,12.46,1.14,10.77,10.7,11.5,2.97,11.28,2.02,2.54,2.27,2.22,2.31,1.64,1.05,2.08
c_1,12.72,12.3,16.19,1.14,13.63,11.86,3.83,1.28,3.72,9.9,2.71,2.34,2.35,1.98,1.72,2.17
b_1,20.99,16.67,17.63,8.81,1.15,18.78,4.48,2.84,5.91,3.2,37.0,3.92,3.83,3.76,2.63,3.38
a_1,18.56,26.95,20.04,28.34,11.29,1.15,6.7,4.47,6.51,3.87,6.38,4.16,26.56,2.45,3.97,4.37
h_1,26.67,22.35,23.55,27.6,22.58,22.86,1.9,5.73,8.05,5.86,5.19,5.37,4.43,7.25,3.36,5.34
d_0,14.6,39.58,88.61,35.75,45.17,33.28,13.49,2.72,10.56,5.86,6.53,6.36,5.82,4.27,4.97,6.51
g_1,34.92,37.62,35.82,31.78,33.88,34.49,7.66,7.56,1.91,8.75,7.3,7.9,9.24,3.94,18.65,7.31
c_0,34.29,30.89,19.02,165.58,58.07,31.62,11.74,9.83,11.5,2.77,8.04,8.78,8.33,7.12,6.02,7.31
b_0,27.83,54.29,40.57,44.31,,39.52,11.16,8.94,12.15,4.41,2.61,6.91,7.2,6.44,4.78,8.73
f_0,34.92,172.73,32.69,44.31,32.52,35.13,11.02,9.3,6.38,7.46,7.93,2.53,8.5,6.15,3.93,9.18
a_0,40.43,60.32,42.09,61.69,58.07,,14.12,14.04,18.4,13.73,5.66,9.22,2.62,8.64,7.31,11.19
h_0,42.21,58.46,54.31,65.54,56.72,42.16,39.3,12.29,20.77,10.98,12.33,10.63,10.37,19.33,8.67,11.55
g_0,58.2,70.37,55.2,89.89,67.75,34.49,13.49,13.49,,9.9,10.67,10.05,11.49,5.64,18.65,8.73
e_0,128.03,97.44,52.61,57.2,49.78,52.69,15.07,12.29,13.7,15.49,10.88,5.95,10.37,10.97,8.88,2.98
