,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.42,0.49,0.64,0.76,0.72,0.67,0.36,0.39,0.41,0.28,0.32,0.35,0.36,0.27,0.29,0.4
f_1,0.7,0.42,0.61,0.69,0.71,0.6,0.29,0.3,0.45,0.3,0.28,0.34,0.29,0.2,0.26,0.23
d_1,0.78,0.74,0.39,0.61,0.62,0.62,0.33,0.38,0.24,0.36,0.32,0.29,0.28,0.25,0.19,0.28
c_1,0.55,0.68,0.82,0.38,0.8,0.63,0.39,0.19,0.36,0.3,0.26,0.28,0.26,0.25,0.23,0.28
b_1,0.67,0.73,0.73,0.42,0.34,0.9,0.38,0.29,0.39,0.38,0.42,0.35,0.29,0.32,0.28,0.28
a_1,0.67,0.78,0.71,0.68,0.38,0.3,0.42,0.34,0.39,0.32,0.44,0.34,0.46,0.26,0.34,0.33
h_1,0.64,0.68,0.62,0.6,0.6,0.52,0.25,0.29,0.36,0.27,0.27,0.28,0.28,0.26,0.26,0.28
d_0,0.41,0.62,0.75,0.82,0.75,0.64,0.38,0.24,0.39,0.23,0.28,0.3,0.29,0.23,0.25,0.3
g_1,0.6,0.58,0.76,0.63,0.59,0.56,0.29,0.28,0.21,0.31,0.29,0.34,0.27,0.18,0.32,0.3
c_0,0.71,0.62,0.41,0.87,0.64,0.57,0.36,0.44,0.34,0.23,0.36,0.31,0.32,0.28,0.27,0.27
b_0,0.57,0.7,0.54,0.8,0.81,0.49,0.36,0.33,0.31,0.18,0.22,0.28,0.35,0.26,0.22,0.29
f_0,0.61,0.86,0.61,0.65,0.58,0.54,0.35,0.29,0.22,0.27,0.29,0.21,0.28,0.25,0.19,0.35
a_0,0.58,0.65,0.57,0.75,0.79,0.77,0.35,0.3,0.29,0.24,0.18,0.25,0.19,0.23,0.21,0.3
h_0,0.57,0.64,0.59,0.66,0.58,0.59,0.38,0.31,0.4,0.26,0.28,0.26,0.28,0.29,0.25,0.26
g_0,0.59,0.71,0.66,0.72,0.6,0.47,0.3,0.3,0.35,0.24,0.28,0.28,0.32,0.18,0.26,0.27
e_0,0.66,0.84,0.61,0.6,0.61,0.6,0.32,0.29,0.27,0.28,0.26,0.17,0.25,0.25,0.21,0.19
