,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,6.06,2.29,2.37,1.69,2.22,2.11,8.36,8.53,18.73,7.68,13.76,12.2,17.47,18.46,11.82,10.38
e_1,1.88,6.07,2.28,2.64,2.14,2.31,8.86,8.16,10.56,17.87,11.73,12.3,14.98,16.29,11.7,8.23
f_1,2.06,3.7,6.28,2.35,2.04,1.96,7.99,6.94,8.64,10.06,9.79,7.0,14.35,12.81,10.27,8.6
c_1,2.12,1.87,2.25,6.79,4.19,2.1,7.44,7.88,4.62,9.23,5.93,8.94,16.56,15.24,10.2,12.64
b_1,2.21,2.1,2.43,2.23,7.66,4.86,7.02,7.37,8.51,9.67,6.28,10.56,15.42,15.25,6.76,11.28
a_1,2.45,2.33,2.34,2.24,2.16,10.98,8.59,8.27,11.28,10.63,11.21,12.07,17.16,12.96,7.39,10.48
h_1,2.73,2.0,3.25,2.04,2.5,2.37,17.92,13.03,12.27,10.03,10.77,12.35,12.68,22.56,13.28,14.58
g_1,4.05,2.04,2.45,2.05,2.31,2.16,8.23,21.59,10.77,7.31,11.03,16.12,15.61,13.57,13.88,14.35
c_0,2.8,2.54,2.97,1.8,1.78,2.23,9.75,9.33,18.78,11.26,22.52,12.54,19.04,19.17,18.32,12.88
d_0,1.76,2.18,2.76,4.48,2.21,2.28,9.37,8.33,6.98,18.18,9.64,12.15,17.42,18.95,12.88,14.46
b_0,2.67,2.42,2.94,2.87,1.67,1.56,9.65,9.48,11.81,12.55,20.82,11.19,19.95,19.43,28.08,13.91
f_0,2.95,2.19,2.03,2.77,2.27,2.32,9.51,10.08,11.46,11.49,12.57,21.98,19.24,19.15,12.74,26.23
h_0,2.74,2.42,3.58,2.54,2.02,2.24,6.34,11.56,10.43,11.0,11.08,9.62,12.45,24.99,10.38,13.67
g_0,3.56,2.21,2.3,2.28,2.23,2.83,8.83,6.98,12.18,10.54,11.9,19.55,16.51,15.29,12.81,14.88
a_0,2.69,2.21,2.74,3.12,2.72,1.29,8.02,10.02,10.27,10.93,10.98,12.2,21.99,20.61,28.84,13.06
e_0,2.63,1.77,2.91,2.57,2.46,2.47,10.2,9.6,10.27,10.32,12.26,13.95,21.45,18.75,14.23,29.2
