,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.65,1.05,1.0,0.93,0.88,0.8,0.39,0.29,0.39,0.42,0.36,0.3,0.27,0.21,0.3,0.29
e_1,0.9,0.65,0.68,1.12,0.96,0.82,0.5,0.44,0.35,0.43,0.36,0.4,0.28,0.31,0.35,0.39
f_1,0.92,1.06,0.64,0.97,0.9,0.79,0.36,0.41,0.32,0.35,0.32,0.37,0.22,0.29,0.31,0.27
c_1,1.18,0.85,0.97,0.63,1.09,0.88,0.49,0.49,0.4,0.24,0.31,0.31,0.29,0.29,0.29,0.33
b_1,1.13,1.07,1.08,0.71,0.62,1.17,0.47,0.48,0.48,0.42,0.46,0.42,0.34,0.33,0.31,0.36
a_1,1.31,1.21,1.29,1.19,0.7,0.57,0.58,0.58,0.52,0.48,0.64,0.48,0.39,0.31,0.58,0.4
h_1,1.57,1.41,1.69,1.62,1.56,1.35,0.53,0.73,0.55,0.55,0.6,0.56,0.52,0.48,0.52,0.5
g_1,1.89,1.64,1.81,1.55,1.65,1.37,0.59,0.51,0.66,0.6,0.64,0.57,0.43,0.52,0.59,0.55
c_0,1.28,1.69,1.97,2.44,1.74,1.32,0.76,0.75,0.54,0.85,0.73,0.59,0.56,0.47,0.64,0.64
d_0,1.85,1.26,1.73,2.07,1.71,1.39,0.83,1.0,0.59,0.56,0.61,0.6,0.54,0.54,0.64,0.69
b_0,1.53,1.62,1.92,2.61,2.05,1.22,0.76,0.77,0.45,0.73,0.53,0.55,0.56,0.47,0.83,0.58
f_0,1.9,1.69,2.1,2.12,1.75,1.55,0.79,0.71,0.7,0.79,0.74,0.53,0.62,0.42,0.63,0.75
h_0,1.98,1.97,2.28,1.94,1.81,1.55,0.99,0.97,0.69,0.74,0.67,0.63,0.67,0.62,0.6,0.61
g_0,2.19,2.02,2.33,2.17,2.18,2.07,0.81,1.06,0.76,0.79,0.76,0.81,0.49,0.64,0.69,0.69
a_0,2.13,1.93,2.12,2.4,2.89,2.05,0.94,0.85,0.63,0.75,0.47,0.7,0.74,0.61,0.51,0.74
e_0,2.25,2.06,2.59,2.08,2.11,1.88,0.95,0.88,0.74,0.74,0.83,0.5,0.65,0.54,0.81,0.51
