,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.08,1.42,1.22,1.72,4.36,18.83,23.45,37.24,33.55,38.94,56.57,85.65,89.9,85.81,105.3
f_1,0.93,1.0,1.7,1.17,1.78,3.06,14.74,30.42,32.75,35.13,38.49,65.61,66.45,63.83,93.51,112.56
e_1,0.71,0.59,1.0,1.26,1.56,2.9,14.72,24.44,22.76,39.58,34.55,46.15,67.9,68.99,76.8,100.89
c_1,0.82,0.85,0.79,1.0,1.88,2.44,14.78,22.66,17.05,17.38,18.93,40.13,44.36,59.85,69.33,71.08
b_1,0.58,0.56,0.64,0.53,1.0,2.25,11.4,17.24,19.61,20.27,15.98,24.85,30.29,43.09,42.39,64.93
a_1,0.23,0.33,0.35,0.41,0.44,1.0,6.72,7.24,8.6,9.58,13.02,14.65,,24.21,33.04,40.13
h_1,0.05,0.07,0.07,0.07,0.09,0.14,1.0,1.71,1.73,1.75,2.15,2.33,3.5,4.66,5.88,6.42
g_1,0.04,0.03,0.04,0.04,0.06,0.14,0.58,1.0,0.92,1.19,1.59,1.94,2.44,2.65,4.39,3.95
c_0,0.02,0.03,0.05,0.06,0.06,0.11,0.6,1.08,1.0,1.44,1.96,1.51,2.74,2.72,3.8,4.13
d_0,0.03,0.03,0.02,0.06,0.05,0.1,0.55,0.88,0.7,1.0,1.14,1.34,2.59,2.48,2.86,2.88
b_0,0.03,0.03,0.03,0.05,0.07,0.06,0.46,0.65,0.49,0.91,1.0,1.09,2.22,1.98,2.57,2.35
f_0,0.02,0.02,0.02,0.03,0.04,0.07,0.44,0.51,0.67,0.69,0.84,1.0,1.39,1.73,3.27,1.95
a_0,0.01,0.01,0.01,0.03,0.03,,0.3,0.4,0.38,0.44,0.46,0.71,1.0,1.12,1.44,1.25
h_0,0.01,0.02,0.01,0.02,0.02,0.04,0.21,0.38,0.38,0.41,0.5,0.62,0.92,1.0,1.01,1.36
e_0,0.01,0.01,0.01,0.02,0.02,0.03,0.16,0.22,0.27,0.36,0.41,0.3,0.67,1.06,1.0,0.92
g_0,0.01,0.01,0.01,0.01,0.02,0.02,0.15,0.27,0.26,0.35,0.42,0.5,0.77,0.74,1.06,1.0
