,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.07,0.99,0.85,0.84,0.9,0.68,0.52,0.76,0.6,0.66,0.62,0.63,0.6,0.52,0.49
f_1,0.92,1.0,1.26,0.89,0.92,0.74,0.59,0.69,0.65,0.66,0.61,0.64,0.61,0.49,0.49,0.57
e_1,1.02,0.8,1.0,1.24,0.99,0.88,0.74,0.72,0.63,0.93,0.74,0.67,0.64,0.63,0.61,0.61
c_1,1.19,1.12,0.81,1.0,1.27,0.87,0.77,0.75,0.54,0.45,0.46,0.63,0.5,0.59,0.56,0.56
b_1,1.19,1.09,1.01,0.8,1.0,1.19,0.83,0.81,0.82,0.7,0.62,0.64,0.56,0.65,0.54,0.64
a_1,1.13,1.33,1.14,1.14,0.83,1.0,1.09,0.82,0.77,0.77,0.89,0.77,0.57,0.76,0.8,0.81
h_1,1.47,1.69,1.33,1.27,1.24,0.95,1.0,1.07,0.92,0.9,0.97,0.81,0.83,0.91,0.84,0.9
g_1,1.91,1.45,1.41,1.32,1.24,1.16,0.92,1.0,0.86,0.87,1.06,1.09,0.89,0.79,1.0,0.83
c_0,1.21,1.58,1.6,1.96,1.27,1.24,1.07,1.14,1.0,1.27,1.33,0.87,0.99,0.87,0.89,0.89
d_0,1.67,1.49,1.12,2.14,1.42,1.24,1.08,1.11,0.79,1.0,0.96,0.94,1.0,0.97,0.8,0.8
b_0,1.42,1.77,1.4,2.22,1.57,1.12,1.01,0.94,0.72,1.08,1.0,0.91,1.23,0.94,0.83,0.88
f_0,1.67,1.52,1.46,1.65,1.63,1.28,1.22,0.9,1.13,1.06,1.03,1.0,0.93,0.97,1.43,0.8
a_0,1.58,1.62,1.65,2.1,1.67,1.62,1.22,1.09,1.0,1.08,0.84,1.03,1.0,1.02,0.97,0.98
h_0,1.68,2.05,1.67,1.7,1.48,1.33,1.1,1.28,1.11,1.05,1.05,1.03,0.99,1.0,0.78,1.01
e_0,1.83,2.09,1.73,1.9,1.81,1.27,1.22,0.95,1.12,1.18,1.17,0.71,1.01,1.3,1.0,0.83
g_0,2.12,1.73,1.62,1.65,1.56,1.29,1.08,1.21,1.19,1.17,1.12,1.18,1.04,1.02,1.22,1.0
