,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,3.8,0.37,0.77,0.42,0.4,0.24,0.83,0.68,0.73,0.74,0.9,0.15,0.66,0.65,0.51,0.83
d_1,0.47,4.07,0.29,0.32,0.41,0.35,0.8,0.15,0.81,1.52,0.79,0.8,1.02,1.03,0.98,0.89
e_1,0.39,0.36,4.03,0.41,0.38,0.47,0.65,1.57,0.69,0.8,0.82,0.83,0.89,0.73,0.25,0.75
c_1,0.4,0.41,0.36,4.38,0.65,0.42,0.56,0.79,0.84,0.17,0.66,0.87,0.85,0.86,0.59,0.96
b_1,0.36,0.51,0.36,0.32,4.88,0.77,0.84,0.72,0.61,0.65,0.14,0.77,0.98,0.53,0.74,0.95
a_1,0.43,0.42,0.38,0.37,0.45,6.61,0.71,0.85,0.78,0.78,0.6,0.87,0.86,0.17,1.0,0.79
h_1,0.87,0.54,0.7,0.83,0.56,0.57,5.22,1.03,1.6,1.51,1.57,1.39,0.77,1.46,1.68,1.73
d_0,0.63,0.26,0.59,1.5,0.56,0.71,1.42,3.66,0.9,1.23,1.9,1.62,1.31,1.38,1.45,1.55
g_1,0.62,1.04,0.54,0.67,0.68,0.46,1.15,1.51,6.31,1.07,1.58,2.42,1.73,1.37,1.77,0.66
c_0,0.79,0.59,0.9,0.27,0.52,0.64,1.47,1.67,1.21,4.13,3.47,1.82,1.86,1.53,1.82,1.5
b_0,0.76,0.78,0.72,0.86,0.17,0.55,1.44,1.59,1.35,1.41,4.2,1.32,1.94,3.01,1.94,1.55
f_0,0.32,0.74,0.59,0.87,0.84,0.65,1.2,1.78,1.41,1.62,1.48,4.88,1.44,1.63,3.26,1.44
h_0,1.11,0.76,0.56,0.66,0.59,0.61,0.63,1.33,1.55,1.08,1.56,1.64,0.52,1.28,1.79,1.9
a_0,0.63,0.8,0.74,0.84,0.56,0.26,1.52,1.72,1.11,1.76,1.48,1.8,2.06,6.23,1.45,1.83
e_0,0.98,0.8,0.17,0.87,0.43,0.63,1.74,1.37,1.31,1.73,1.54,1.69,1.96,2.44,6.74,1.78
g_0,0.61,1.1,0.56,0.72,0.64,0.74,1.18,1.12,0.53,1.4,1.85,2.51,1.02,1.69,2.01,0.77
