,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.89,0.17,0.35,0.17,0.14,0.06,0.17,0.16,0.12,0.14,0.16,0.05,0.13,0.08,0.05,0.12
d_1,0.24,0.89,0.15,0.13,0.15,0.11,0.17,0.07,0.15,0.31,0.16,0.14,0.19,0.13,0.11,0.13
e_1,0.2,0.17,0.88,0.21,0.14,0.12,0.16,0.33,0.12,0.15,0.17,0.15,0.17,0.09,0.05,0.12
c_1,0.19,0.18,0.16,0.89,0.26,0.12,0.13,0.18,0.13,0.06,0.13,0.13,0.16,0.1,0.07,0.13
b_1,0.16,0.23,0.17,0.15,0.88,0.22,0.16,0.15,0.11,0.14,0.05,0.12,0.18,0.07,0.09,0.14
a_1,0.23,0.2,0.18,0.16,0.17,0.87,0.15,0.17,0.13,0.16,0.12,0.14,0.18,0.04,0.12,0.12
h_1,0.32,0.21,0.22,0.25,0.14,0.13,0.57,0.18,0.22,0.19,0.2,0.16,0.13,0.11,0.12,0.21
d_0,0.23,0.13,0.2,0.44,0.18,0.13,0.21,0.42,0.14,0.14,0.25,0.19,0.18,0.13,0.12,0.15
g_1,0.22,0.33,0.17,0.21,0.17,0.1,0.21,0.2,0.56,0.18,0.2,0.27,0.22,0.14,0.13,0.1
c_0,0.28,0.22,0.26,0.13,0.14,0.14,0.21,0.24,0.17,0.43,0.42,0.21,0.22,0.14,0.14,0.18
b_0,0.26,0.23,0.22,0.25,0.09,0.12,0.23,0.23,0.18,0.19,0.42,0.16,0.25,0.29,0.17,0.17
f_0,0.17,0.25,0.18,0.25,0.21,0.15,0.19,0.24,0.17,0.23,0.2,0.41,0.2,0.13,0.28,0.17
h_0,0.38,0.24,0.2,0.22,0.17,0.11,0.15,0.21,0.24,0.18,0.18,0.17,0.11,0.12,0.12,0.21
a_0,0.23,0.25,0.21,0.23,0.18,0.07,0.26,0.24,0.15,0.24,0.2,0.21,0.29,0.39,0.12,0.22
e_0,0.31,0.23,0.12,0.25,0.14,0.14,0.24,0.19,0.21,0.21,0.22,0.17,0.25,0.19,0.39,0.16
g_0,0.23,0.34,0.18,0.23,0.19,0.16,0.18,0.19,0.07,0.21,0.21,0.27,0.17,0.15,0.15,0.1
