,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,1.4,1.69,1.67,1.84,1.53,0.36,0.4,0.51,0.31,0.34,1.06,0.15,0.41,0.27,0.27
d_1,1.81,0.16,1.81,1.63,1.3,1.56,0.61,1.2,0.32,0.46,0.3,0.35,0.22,0.3,0.29,0.16
e_1,0.86,2.28,0.16,1.82,1.81,1.72,0.45,0.4,0.6,0.28,0.36,0.39,0.3,0.31,1.56,0.35
c_1,1.58,2.04,1.61,0.15,2.03,1.79,0.39,0.16,0.54,1.31,0.29,0.31,0.27,0.33,0.3,0.24
b_1,1.65,1.62,1.72,1.01,0.14,1.47,0.57,0.4,0.46,0.45,1.67,0.28,0.27,0.47,0.56,0.25
a_1,2.71,1.84,1.39,1.57,0.85,0.1,0.54,0.34,0.63,0.37,0.41,0.35,0.26,1.3,0.39,0.22
h_1,0.85,0.86,1.04,1.28,0.91,1.05,0.07,0.2,0.29,0.17,0.18,0.21,0.3,0.16,0.16,0.15
d_0,1.06,3.48,0.46,0.89,1.14,1.01,0.34,0.08,0.23,0.17,0.17,0.16,0.15,0.15,0.21,0.17
g_1,1.03,0.87,0.99,0.87,1.12,0.92,0.23,0.28,0.05,0.22,0.21,0.2,0.11,0.24,0.21,0.32
c_0,1.14,0.44,0.98,3.0,1.12,0.79,0.26,0.23,0.34,0.07,0.19,0.16,0.18,0.16,0.15,0.13
b_0,0.84,0.91,0.82,1.15,3.8,1.27,0.22,0.14,0.22,0.09,0.07,0.18,0.12,0.17,0.19,0.11
f_0,4.6,0.84,0.88,0.79,0.93,0.83,0.26,0.18,0.15,0.17,0.2,0.06,0.12,0.19,0.18,0.08
h_0,1.18,0.76,0.87,0.95,0.87,0.89,0.49,0.22,0.23,0.18,0.15,0.2,0.39,0.14,0.15,0.19
a_0,1.21,0.7,1.0,0.79,1.36,,0.24,0.2,0.27,0.21,0.1,0.18,0.15,0.04,0.13,0.11
e_0,1.72,0.73,1.78,1.21,1.03,0.65,0.21,0.2,0.2,0.17,0.15,0.09,0.11,0.2,0.04,0.1
g_0,0.96,0.88,1.01,0.91,0.86,0.88,0.23,0.19,0.6,0.2,0.19,0.2,0.1,0.15,0.16,0.27
