,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.05,2.03,1.73,1.62,1.64,1.42,0.62,0.62,0.44,0.57,0.51,0.48,0.37,0.42,0.39,0.28
e_1,1.75,1.05,1.21,1.9,1.72,1.56,0.69,0.65,0.71,0.55,0.58,0.52,0.44,0.47,0.68,0.44
f_1,1.69,1.83,1.05,1.82,1.71,1.55,0.5,0.55,0.69,0.47,0.57,0.44,0.31,0.43,0.37,0.39
c_1,2.13,1.55,1.91,1.05,1.88,1.6,0.67,0.36,0.66,0.61,0.48,0.45,0.43,0.46,0.46,0.46
b_1,2.23,2.11,2.56,1.39,1.06,2.03,0.84,0.57,0.76,0.83,0.58,1.08,0.5,0.55,0.55,0.52
a_1,2.78,2.36,2.69,2.93,1.53,1.06,1.19,0.84,1.1,0.88,0.86,1.0,0.7,0.96,0.81,0.59
h_1,4.85,4.71,5.94,4.98,4.15,3.61,1.29,1.51,2.23,1.4,1.43,1.47,1.43,1.32,1.16,1.21
d_0,6.78,3.77,5.4,6.46,6.24,4.69,2.18,1.45,2.03,1.51,1.5,1.58,1.36,1.38,1.48,1.43
g_1,6.31,5.4,5.73,6.14,6.0,3.77,1.66,1.96,1.29,1.71,1.68,1.69,1.2,1.66,1.62,1.39
c_0,3.97,6.74,6.34,8.23,5.16,4.39,2.41,2.62,2.1,1.39,1.76,2.29,1.52,1.65,1.6,1.46
f_0,6.14,6.22,8.12,6.49,6.27,5.08,2.38,2.01,1.73,1.96,1.41,1.8,1.52,1.5,1.91,0.99
b_0,5.68,6.12,6.88,8.52,6.3,4.82,2.44,2.41,2.12,1.19,1.9,1.42,1.52,2.28,1.81,1.4
h_0,7.65,7.11,8.73,7.23,7.83,5.99,3.29,2.43,2.7,2.17,2.15,2.0,2.04,1.93,1.77,1.77
a_0,7.6,9.04,9.04,8.6,8.55,8.29,2.95,3.2,2.31,2.29,2.27,1.41,2.02,1.5,2.08,1.8
e_0,7.73,10.1,13.16,8.94,7.54,6.18,3.23,2.62,2.4,2.36,1.49,2.48,2.0,1.98,1.5,1.76
g_0,9.16,8.95,9.64,7.5,7.07,7.49,2.7,2.74,3.43,2.46,2.85,2.71,1.71,2.27,2.15,1.98
