,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,12567.3,3211.81,4227.04,3606.91,9261.37,28248.61,4923118.07,4999019.49,9988557.64,24062870.04,28763368.51,28987491.83,95912942.61,119820645.12,128318228.66,185743017.53
e_1,2565.57,13706.04,4010.47,5769.55,9164.0,32022.09,4706253.48,20253333.6,10090720.33,11575629.08,22831554.59,28055545.66,105115052.41,106685066.11,61515766.33,150093075.21
f_1,3227.3,6022.39,15338.22,4381.37,6864.71,28280.55,4218472.2,10121593.42,9786055.34,13025073.44,10451296.26,22689669.68,77284633.71,98859051.6,73069295.18,123108511.1
c_1,3036.7,3377.39,3817.61,19120.57,16770.84,21487.92,4304143.96,11190613.06,8377725.05,5485917.89,23211934.82,17023112.11,98448428.52,89027256.44,102352328.79,184360212.38
b_1,3183.36,3056.36,3305.82,4678.41,48198.43,55895.47,4797686.38,9248451.55,8813175.08,11938480.66,22598945.67,11999758.74,79566736.29,67608299.77,126740643.52,188533484.01
a_1,3324.24,3395.75,3149.0,4260.7,10530.41,193968.62,5129197.95,12883852.62,12141859.64,14674662.46,30155576.22,27752870.88,102919702.91,44113126.2,153371677.18,157418200.84
h_1,3999.89,3772.88,6751.03,5607.77,10178.45,28182.14,13992178.13,12383900.26,16972680.54,14074554.96,24671141.61,28039840.07,72342185.47,132880698.59,137182111.28,231836941.22
d_0,2535.29,3901.01,4625.26,10871.66,12738.2,35098.83,5545155.82,22590428.78,10621192.04,10935427.77,27740471.15,27766415.47,102278858.77,92209904.82,121287076.93,183901379.63
g_1,6341.69,3697.2,3754.02,4856.51,10891.86,30602.05,4190885.61,13270581.59,37754057.09,14592646.52,46310592.35,32566589.25,125578809.55,145682683.86,165528451.79,109324200.53
c_0,4238.85,3986.72,5502.46,3637.38,8294.67,30498.94,6565114.18,14776140.92,12818369.41,31647869.35,30472305.25,67882748.06,125091733.78,148049157.17,175506511.74,239686469.23
f_0,4374.73,3461.84,3312.2,6381.18,12703.81,34254.78,5468448.26,14317961.48,15077487.91,15422501.52,60459210.95,33049027.99,125310560.65,132904037.77,303232328.73,194947981.23
b_0,4596.56,4022.47,5774.1,6372.89,5058.25,22032.47,5750012.28,14567481.33,12143834.25,13979748.56,32656985.45,63675914.01,143542985.69,277327601.46,165031493.07,179756196.48
h_0,4486.34,3937.38,7030.64,5243.75,10210.91,30352.5,3438732.83,12848022.43,15207806.27,13925168.59,27847211.08,31354400.76,83294666.78,109605577.78,142693796.98,244826312.85
a_0,4889.35,3995.75,5578.76,5351.62,9587.74,18281.44,6903877.05,13494667.35,11734781.3,18116552.51,39712599.32,30131483.53,128403869.2,315242574.89,175466322.48,209300508.37
e_0,5295.64,1920.14,5039.14,5964.35,11157.71,35417.5,6924906.57,14611044.37,12619135.32,16705325.55,30173974.99,31828467.3,136084014.04,163582766.22,376541243.37,220843327.1
g_0,6708.81,3337.57,4482.7,4874.84,10080.18,32731.28,5464763.63,10770717.65,9730983.14,15348038.37,50191479.28,34660896.18,120773642.18,130706320.87,142554778.82,158929352.57
