,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.42,0.54,0.87,0.92,0.77,0.84,0.44,0.46,0.39,0.47,0.47,0.47,0.33,0.39,0.37,0.51
f_1,0.89,0.41,0.7,0.79,0.77,0.79,0.34,0.35,0.34,0.49,0.31,0.46,0.25,0.32,0.3,0.31
d_1,0.86,0.86,0.41,0.82,0.87,0.68,0.42,0.56,0.38,0.31,0.36,0.33,0.31,0.33,0.23,0.31
c_1,0.66,0.87,1.0,0.38,0.8,0.85,0.45,0.23,0.44,0.41,0.33,0.36,0.3,0.4,0.32,0.41
b_1,0.85,0.91,0.83,0.55,0.35,0.87,0.5,0.38,0.41,0.48,0.53,0.37,0.3,0.4,0.29,0.32
a_1,0.77,0.92,0.87,0.72,0.56,0.29,0.54,0.36,0.43,0.58,0.52,0.37,0.35,0.64,0.32,0.33
h_1,0.71,0.79,0.72,0.73,0.72,0.6,0.25,0.33,0.31,0.44,0.31,0.3,0.35,0.33,0.29,0.27
d_0,0.48,0.69,0.85,0.9,0.77,0.76,0.47,0.26,0.31,0.44,0.35,0.38,0.33,0.3,0.29,0.36
c_0,0.72,0.72,0.49,1.36,0.78,0.64,0.4,0.37,0.25,0.36,0.36,0.34,0.28,0.34,0.31,0.37
g_1,0.7,0.69,0.73,0.87,0.76,0.7,0.31,0.31,0.31,0.22,0.32,0.31,0.24,0.31,0.35,0.32
b_0,0.68,0.78,0.62,0.92,1.12,0.66,0.38,0.33,0.2,0.39,0.23,0.32,0.29,0.32,0.28,0.29
f_0,0.64,0.93,0.67,0.76,0.71,0.74,0.43,0.32,0.31,0.31,0.31,0.22,0.31,0.33,0.2,0.41
h_0,0.72,0.87,0.7,0.75,0.66,0.57,0.5,0.31,0.29,0.39,0.3,0.3,0.33,0.32,0.28,0.31
a_0,0.71,0.71,0.72,0.7,0.83,1.09,0.4,0.33,0.28,0.35,0.21,0.32,0.29,0.2,0.38,0.38
g_0,0.67,0.72,0.73,0.7,0.81,0.71,0.32,0.35,0.31,0.38,0.33,0.32,0.23,0.29,0.36,0.31
e_0,0.9,1.02,0.62,0.67,0.67,0.83,0.37,0.34,0.29,0.36,0.3,0.17,0.3,0.27,0.24,0.19
