,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.63,0.69,0.5,0.75,0.61,0.59,0.81,1.81,0.87,0.83,1.12,1.05,0.86,0.94,0.36,1.02
f_1,1.07,2.8,0.64,0.55,0.51,0.44,0.78,0.73,0.81,0.96,0.9,0.32,0.95,0.98,0.68,0.79
d_1,0.63,0.61,3.07,0.48,0.55,0.53,1.0,0.37,0.94,1.81,1.07,1.01,1.03,1.05,1.3,1.06
c_1,0.56,0.6,0.59,3.1,1.1,0.68,0.87,0.87,0.71,0.29,0.72,0.9,0.86,1.01,0.92,1.12
b_1,0.48,0.63,0.74,0.63,3.54,1.14,0.82,0.92,0.9,0.75,0.23,0.98,0.73,0.91,1.17,0.74
a_1,0.66,0.67,0.5,0.77,0.61,5.13,0.99,0.71,0.88,0.9,1.09,1.01,0.34,0.85,0.91,0.75
h_1,0.78,1.09,0.79,0.67,0.69,0.63,2.99,0.97,1.17,0.92,1.03,1.06,1.25,0.62,1.1,1.52
d_0,0.7,0.74,0.37,1.48,0.72,0.72,1.0,2.33,1.19,0.83,1.34,1.18,1.1,1.26,0.95,1.04
g_1,0.62,0.54,1.24,0.75,0.64,0.58,1.17,0.98,3.87,1.34,1.14,1.89,1.3,1.24,1.32,0.81
c_0,0.73,0.85,0.92,0.46,0.47,0.56,1.3,1.17,1.27,2.47,2.36,1.32,1.37,1.25,1.25,1.37
b_0,0.69,0.94,0.73,0.79,0.35,0.6,1.34,1.14,1.35,1.07,2.68,1.29,2.45,1.23,1.27,1.29
f_0,0.51,0.38,1.01,0.95,0.7,0.78,1.26,1.22,1.24,1.27,1.36,2.93,1.53,1.35,2.8,1.53
a_0,0.88,0.7,0.78,0.89,0.73,0.38,1.37,1.09,1.08,1.01,1.02,1.18,3.56,1.27,1.21,0.98
h_0,0.78,1.12,0.85,0.73,0.69,0.61,0.6,1.08,1.54,1.13,1.06,1.2,1.17,0.69,1.1,1.81
e_0,0.31,0.84,0.98,0.8,0.8,1.0,1.19,1.02,1.28,1.43,1.47,1.25,1.26,1.36,3.49,1.27
g_0,0.68,0.62,1.25,0.73,0.86,0.53,1.16,0.9,0.61,0.92,1.24,1.9,1.14,1.19,1.3,0.68
