,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,34.21,0.06,0.06,0.07,0.08,0.06,0.29,0.73,0.29,0.32,0.39,0.34,0.27,0.56,,0.72
f_1,0.12,36.83,0.07,0.06,0.07,0.06,0.29,0.34,0.28,0.47,0.37,,0.44,0.61,0.23,0.44
d_1,0.06,0.06,39.83,0.06,0.07,0.06,0.35,,0.27,0.75,0.36,0.38,0.36,0.63,0.55,0.62
c_1,0.06,0.06,0.05,42.33,0.12,0.1,0.24,0.42,0.25,,0.33,0.3,0.39,0.69,0.43,0.86
b_1,0.06,0.08,0.09,0.07,49.72,0.14,0.31,0.42,0.23,0.32,,0.44,0.31,0.6,0.4,
a_1,0.08,0.06,0.06,0.07,0.07,76.69,0.29,0.29,0.31,0.37,0.42,0.42,,0.48,0.53,0.5
h_1,0.28,0.42,0.27,0.29,0.28,0.29,26.65,1.11,0.98,1.46,1.61,1.26,1.54,,1.54,2.21
d_0,0.37,0.34,,0.69,0.32,0.35,1.33,18.36,2.1,1.64,2.61,1.53,1.98,3.07,1.64,2.5
g_1,0.19,0.17,0.43,0.22,0.2,,1.2,1.31,35.92,1.78,1.52,2.17,1.34,2.98,1.75,
c_0,0.29,0.41,0.36,,0.3,0.34,1.7,1.83,1.65,19.38,3.51,2.39,1.51,3.04,1.85,3.41
b_0,0.34,0.43,0.34,0.3,,,2.19,2.63,1.6,1.85,21.72,2.25,3.1,2.53,1.48,2.04
f_0,0.24,,0.42,0.35,0.29,0.3,1.5,2.35,1.38,2.41,1.67,22.33,2.43,3.9,4.43,3.71
a_0,0.47,0.33,0.26,0.4,0.27,,2.0,1.62,1.62,1.72,,2.57,31.31,2.85,1.93,2.12
h_0,0.66,0.9,0.47,0.45,0.47,0.63,,3.79,2.62,2.66,2.43,2.7,2.54,,2.2,7.57
e_0,,0.29,0.51,0.34,0.47,0.58,1.15,1.76,1.33,1.87,2.13,1.94,2.11,3.65,30.97,3.51
g_0,0.55,0.32,0.84,0.6,0.7,0.41,1.9,2.06,,2.71,3.4,6.64,,4.65,2.88,
