,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.81,0.89,1.13,1.12,0.97,0.96,1.45,1.11,0.94,1.13,1.3,0.89,1.02,1.11,1.11
f_1,1.23,1.0,1.0,0.99,0.88,0.84,0.8,0.94,1.11,0.94,0.87,0.88,1.07,0.86,0.84,0.99
d_1,1.12,1.01,1.0,0.9,0.88,1.02,1.08,0.99,0.85,1.3,1.13,0.92,1.05,1.02,1.04,0.86
c_1,0.88,1.01,1.12,1.0,1.32,0.93,1.08,0.7,0.91,0.78,0.84,0.92,0.9,1.07,0.95,1.09
b_1,0.89,1.13,1.14,0.76,1.0,1.41,1.01,1.02,1.06,1.11,0.89,1.04,0.9,1.06,1.09,0.86
a_1,1.04,1.17,0.97,1.07,0.72,1.0,1.15,0.92,1.12,1.06,1.2,1.02,0.94,1.09,0.91,1.1
h_1,1.01,1.22,0.97,0.96,1.02,0.83,1.0,0.95,0.99,0.89,0.89,0.86,0.95,1.03,0.91,1.13
d_0,0.68,1.01,1.0,1.49,1.02,1.12,1.03,1.0,1.09,0.78,1.0,0.94,1.06,1.1,1.02,1.03
g_1,0.85,0.84,1.19,1.11,1.01,0.95,1.01,0.89,1.0,1.03,0.9,1.23,1.12,0.86,1.03,1.11
c_0,1.03,1.04,0.78,1.29,0.84,0.9,1.17,1.22,1.01,1.0,1.48,1.02,1.18,1.01,0.99,1.19
b_0,0.89,1.13,0.9,1.23,1.13,0.82,1.13,0.96,1.05,0.68,1.0,0.98,1.6,1.08,0.94,1.0
f_0,0.75,1.31,1.05,1.07,1.03,0.92,1.15,0.98,0.83,0.96,1.03,1.0,1.04,1.02,1.49,0.85
a_0,1.14,0.93,0.9,1.09,1.2,1.15,1.09,1.0,0.93,0.84,0.65,0.98,1.0,1.05,1.03,0.96
h_0,0.98,1.15,1.0,0.98,0.93,0.85,0.93,0.95,1.11,0.93,0.95,0.96,0.97,1.0,0.87,1.18
e_0,0.91,1.24,0.92,1.09,0.92,1.06,1.04,0.99,0.97,1.07,1.13,0.7,0.96,1.15,1.0,1.0
g_0,0.88,1.05,1.17,0.91,1.16,0.91,0.88,0.98,0.89,0.9,0.98,1.16,1.03,0.87,1.05,1.0
