,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.52,0.96,0.9,1.18,0.99,0.83,1.09,1.77,1.12,1.08,1.21,1.29,0.95,1.27,0.87,1.29
f_1,1.46,1.54,0.96,1.02,0.82,0.72,1.04,1.22,1.07,1.07,1.1,0.82,1.04,1.18,0.77,1.07
d_1,1.12,1.1,1.57,0.9,0.83,0.76,1.34,0.99,1.03,1.73,1.34,1.13,1.12,1.19,1.08,1.13
c_1,0.95,1.01,1.03,1.58,1.49,0.89,1.17,0.99,0.99,0.91,0.89,1.05,0.99,1.24,1.07,1.19
b_1,1.05,1.14,1.08,0.95,1.63,1.39,1.2,1.2,1.05,1.17,0.95,1.11,0.93,1.29,1.16,1.07
a_1,1.13,1.31,1.11,1.12,0.95,1.79,1.42,1.19,1.2,1.29,1.29,1.22,0.91,1.38,1.13,1.24
h_1,1.36,1.56,1.22,1.25,1.14,0.86,1.87,1.34,1.48,1.28,1.33,1.26,1.27,1.39,1.3,1.72
d_0,1.15,1.27,1.15,1.96,1.36,1.02,1.39,1.83,1.44,1.08,1.48,1.43,1.4,1.62,1.28,1.44
g_1,1.18,1.2,1.69,1.3,1.21,0.94,1.48,1.28,1.99,1.58,1.48,1.95,1.41,1.5,1.57,1.44
c_0,1.4,1.46,1.26,1.39,0.99,1.0,1.63,1.72,1.43,1.9,2.35,1.48,1.7,1.72,1.38,1.66
b_0,1.35,1.46,1.3,1.53,1.24,0.9,1.76,1.52,1.51,1.36,1.86,1.44,2.27,1.75,1.39,1.62
f_0,1.16,1.29,1.46,1.4,1.46,1.12,1.63,1.61,1.38,1.51,1.67,1.88,1.44,1.67,2.25,1.63
a_0,1.53,1.42,1.3,1.37,1.33,0.98,1.6,1.61,1.46,1.46,1.29,1.53,1.95,1.82,1.43,1.54
h_0,1.45,1.62,1.58,1.3,1.25,1.0,1.43,1.52,1.76,1.51,1.46,1.54,1.42,1.55,1.4,2.0
e_0,1.32,1.64,1.51,1.38,1.25,1.32,1.67,1.46,1.39,1.62,1.8,1.32,1.48,1.87,1.92,1.57
g_0,1.32,1.36,1.86,1.38,1.43,1.06,1.5,1.49,1.26,1.63,1.54,1.96,1.45,1.6,1.68,1.43
