,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,3.68,0.36,0.33,0.29,0.42,0.37,0.91,1.53,0.8,0.28,0.86,0.8,0.89,0.85,0.93,1.08
f_1,0.34,3.89,0.75,0.33,0.31,0.35,0.8,0.72,0.63,0.95,0.87,0.18,0.82,0.71,0.65,0.76
e_1,0.43,0.42,4.02,0.43,0.41,0.41,0.66,0.7,0.52,1.45,0.8,0.82,0.85,0.7,0.73,0.2
c_1,0.43,0.38,0.37,4.76,0.76,0.33,0.51,0.12,0.68,0.76,0.55,0.71,0.91,0.64,0.88,0.94
b_1,0.43,0.36,0.37,0.33,5.1,0.74,0.74,0.79,0.59,0.73,0.23,1.01,0.91,0.62,0.85,0.74
a_1,0.39,0.53,0.34,0.41,0.27,7.07,0.69,0.8,0.73,0.69,1.15,0.82,0.91,0.14,0.97,0.54
h_1,0.68,0.91,0.67,0.78,0.51,0.55,4.99,1.37,2.0,1.12,1.25,1.45,0.68,1.57,1.94,1.18
c_0,0.73,0.72,0.71,0.38,0.64,0.63,1.63,3.68,1.4,1.47,2.81,1.54,1.63,2.27,2.12,1.54
g_1,1.12,0.56,0.58,0.81,0.56,0.62,1.21,1.12,6.11,0.89,1.27,2.3,1.51,1.28,0.87,1.44
d_0,0.18,0.73,0.72,1.58,0.8,0.65,1.19,1.12,1.26,3.77,1.46,1.3,1.56,1.09,0.96,1.06
b_0,0.6,0.87,0.66,0.94,0.16,0.72,1.46,1.53,1.41,1.17,4.23,1.72,1.7,3.27,1.78,1.53
f_0,0.87,0.37,0.47,0.9,0.68,0.57,1.3,1.65,2.0,1.64,1.44,4.68,1.6,1.9,1.7,3.2
h_0,0.76,1.04,0.66,0.64,0.61,0.51,0.55,1.17,1.61,1.49,1.24,1.46,0.53,1.76,2.06,1.52
a_0,0.85,0.68,0.73,0.71,0.71,,1.83,1.51,1.25,1.48,1.41,1.6,2.05,5.91,2.07,1.87
g_0,1.08,0.58,0.53,0.68,0.61,0.55,1.18,1.15,0.95,1.22,1.26,2.43,1.43,1.55,0.71,1.61
e_0,0.73,0.93,0.24,0.7,0.76,0.73,1.56,1.48,1.88,1.73,1.61,1.52,1.54,2.06,1.33,6.08
