,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,11.33,0.75,0.58,0.59,0.68,0.66,1.16,2.68,1.06,0.58,1.37,1.05,1.03,1.14,1.01,1.08
f_1,0.56,10.89,1.99,0.65,0.52,0.6,0.91,0.71,0.89,1.07,0.85,0.61,0.99,0.91,0.82,0.68
e_1,0.58,0.77,10.79,1.0,0.71,0.7,0.94,0.78,0.82,2.44,1.0,1.01,1.08,0.95,0.94,0.79
c_1,0.75,0.59,0.59,13.06,1.95,0.64,0.66,0.55,0.79,0.82,0.54,0.83,0.93,0.78,0.82,1.02
b_1,0.76,0.57,0.56,0.58,14.19,2.03,0.89,0.86,0.84,0.81,0.77,1.18,0.93,0.78,1.08,0.91
a_1,0.79,0.84,0.63,0.82,0.66,17.29,1.0,0.85,0.99,0.91,1.02,0.93,0.95,0.65,1.15,0.85
h_1,0.9,1.23,0.74,0.91,0.5,0.65,2.93,0.98,1.71,0.88,0.9,1.13,0.8,1.05,1.33,1.06
c_0,0.89,0.93,0.8,0.55,0.56,0.8,1.27,2.03,1.27,1.0,3.6,0.97,1.17,1.86,1.29,1.32
g_1,1.7,0.69,0.58,0.83,0.66,0.63,0.94,1.03,3.65,0.64,1.11,1.88,0.99,1.09,0.84,1.59
d_0,0.52,0.79,0.74,2.03,0.99,0.72,0.9,0.72,0.87,1.83,0.99,0.93,0.92,0.89,0.9,0.97
b_0,0.85,0.9,0.78,1.01,0.51,0.62,1.21,1.01,1.12,0.87,2.55,1.17,1.15,2.93,1.21,1.47
f_0,1.05,0.6,0.57,0.9,0.91,0.82,1.24,1.14,1.3,0.87,1.02,2.66,1.08,1.25,1.27,3.02
h_0,0.93,1.34,0.8,0.73,0.79,0.63,0.89,0.9,1.17,0.93,0.91,1.04,0.8,1.14,1.74,1.0
a_0,0.89,1.07,0.77,0.82,0.63,0.51,1.37,1.2,1.17,0.99,0.94,1.07,1.39,3.06,1.35,1.23
g_0,2.07,0.69,0.59,0.83,0.65,0.61,1.07,1.21,1.01,0.79,1.01,2.05,1.04,1.09,1.03,1.34
e_0,0.93,1.08,0.49,0.9,0.71,0.94,1.17,1.07,1.19,1.01,1.14,0.97,1.28,0.97,1.07,2.47
