,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.04,1.59,1.53,1.27,1.31,1.13,0.55,0.5,0.4,0.51,0.45,0.4,0.32,0.37,0.24,0.37
f_1,1.48,1.04,1.66,1.56,1.44,1.16,0.47,0.44,0.57,0.49,0.41,0.46,0.29,0.37,0.36,0.32
e_1,1.71,1.14,1.04,1.67,1.61,1.32,0.59,0.5,0.64,0.55,0.48,0.55,0.37,0.42,0.4,0.48
c_1,2.06,1.89,1.47,1.05,2.06,1.33,0.6,0.61,0.6,0.37,0.43,0.47,0.41,0.45,0.39,0.41
b_1,2.02,2.16,1.78,1.17,1.05,2.01,0.87,0.66,0.71,0.52,0.75,0.55,0.45,0.53,0.47,0.49
a_1,2.71,2.74,2.39,2.5,1.37,1.07,1.01,0.75,1.01,0.74,0.86,0.7,0.63,0.76,0.63,0.59
h_1,4.01,4.55,4.23,4.94,3.67,3.33,1.25,1.21,1.56,1.39,1.16,1.21,1.03,1.0,0.93,1.01
c_0,3.68,5.59,5.63,5.45,4.34,4.21,1.94,1.33,1.77,1.81,1.84,1.42,1.23,1.39,1.06,1.29
g_1,5.19,5.08,4.73,5.09,4.71,3.72,1.47,1.41,1.26,1.5,1.45,1.38,1.01,1.29,1.03,1.25
d_0,6.27,4.81,3.64,5.63,5.28,4.4,1.99,1.56,2.12,1.36,1.69,1.53,1.22,1.42,1.27,1.33
b_0,4.86,5.95,5.71,7.35,5.25,4.31,2.29,1.18,1.93,1.72,1.33,1.75,1.43,1.8,1.26,1.45
f_0,6.1,6.94,5.56,6.27,5.2,5.07,2.26,1.87,1.67,1.89,1.72,1.36,1.47,1.66,0.99,1.87
h_0,7.02,7.2,6.59,6.55,6.3,5.26,2.84,2.03,2.45,2.16,1.91,1.99,1.74,1.63,1.66,1.47
a_0,7.17,8.24,7.46,8.48,7.34,6.41,2.95,1.86,2.61,2.46,1.41,2.23,1.77,1.42,1.64,1.95
g_0,8.32,8.65,7.69,7.97,6.49,5.52,2.65,2.42,2.96,2.46,2.2,2.28,1.41,1.88,1.74,2.02
e_0,7.93,9.62,8.14,7.06,7.16,6.62,3.09,2.47,2.27,2.7,2.02,1.44,1.97,2.01,1.48,1.52
