,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.2,1.21,1.53,1.92,3.54,21.29,36.07,26.1,31.86,44.73,48.86,71.17,90.78,82.4,110.61
f_1,0.81,1.0,1.34,1.54,1.65,3.04,15.71,22.61,27.45,30.67,32.57,40.82,56.81,72.81,88.21,76.04
e_1,0.83,0.76,1.0,1.62,1.75,3.14,16.82,22.91,26.53,34.73,34.19,47.18,62.2,73.49,90.23,96.45
c_1,0.65,0.67,0.62,1.0,1.64,2.05,10.43,15.85,16.61,14.5,18.23,26.82,42.22,48.22,56.49,61.35
b_1,0.53,0.6,0.57,0.61,1.0,2.84,11.71,15.24,15.52,14.99,23.55,26.68,36.85,44.51,55.58,54.95
a_1,0.28,0.33,0.31,0.48,0.37,1.0,5.79,7.28,8.94,8.45,12.08,13.02,20.47,23.69,30.23,26.65
h_1,0.05,0.06,0.06,0.1,0.08,0.17,1.0,1.3,1.68,1.62,1.8,2.46,3.43,4.04,5.09,5.06
c_0,0.03,0.04,0.05,0.06,0.06,0.14,0.76,1.0,1.11,1.26,1.99,1.7,2.68,3.69,3.53,4.05
g_1,0.04,0.04,0.04,0.06,0.06,0.11,0.56,0.88,1.0,0.96,1.34,1.82,2.17,2.96,3.0,3.94
d_0,0.03,0.03,0.03,0.07,0.07,0.12,0.62,0.79,0.98,1.0,1.3,1.51,2.18,2.68,3.13,3.26
b_0,0.02,0.03,0.03,0.05,0.04,0.08,0.55,0.54,0.75,0.78,1.0,1.33,1.93,3.11,2.56,2.93
f_0,0.02,0.02,0.02,0.04,0.04,0.08,0.42,0.57,0.54,0.63,0.77,1.0,1.49,1.9,1.68,3.08
h_0,0.01,0.02,0.02,0.02,0.03,0.05,0.29,0.37,0.43,0.45,0.52,0.69,1.0,1.17,1.62,1.32
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.25,0.28,0.34,0.38,0.33,0.57,0.86,1.0,1.17,1.28
g_0,0.01,0.01,0.01,0.02,0.02,0.03,0.19,0.29,0.32,0.32,0.39,0.58,0.61,0.85,1.0,1.17
e_0,0.01,0.01,0.01,0.02,0.02,0.04,0.2,0.26,0.25,0.32,0.34,0.33,0.72,0.78,0.82,1.0
