,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.42,1.17,0.6,0.64,0.55,0.53,0.91,0.87,0.85,0.8,0.85,0.46,0.78,0.6,0.88,0.93
e_1,0.68,2.49,0.87,0.61,0.46,0.59,0.87,1.64,0.86,0.85,1.18,0.95,1.08,0.56,1.09,0.92
c_1,0.69,0.51,2.83,0.57,1.31,0.64,0.87,0.84,0.38,0.78,0.59,0.95,0.96,1.1,0.76,0.77
d_1,0.81,0.67,0.5,2.97,0.59,0.46,0.87,0.45,1.71,0.88,1.03,0.97,1.15,0.94,1.05,1.07
b_1,0.62,0.58,0.65,0.64,3.15,1.4,0.83,0.78,0.83,0.77,0.36,0.91,0.93,1.01,0.61,0.88
a_1,0.66,0.53,0.61,0.72,0.67,4.33,1.12,0.93,1.01,1.29,1.08,1.15,0.86,1.0,0.42,0.95
h_1,1.05,0.75,0.71,0.99,0.75,0.67,2.78,0.93,1.07,1.4,1.18,1.25,0.69,1.33,1.17,1.6
d_0,0.74,0.8,1.51,0.44,0.93,0.68,1.03,1.94,0.95,1.06,1.17,1.22,1.24,1.4,1.15,1.28
c_0,0.82,0.77,0.52,0.95,0.62,0.74,1.33,1.17,2.27,1.18,2.53,1.29,1.33,1.17,1.44,1.43
g_1,0.7,0.69,0.94,1.22,0.71,0.79,0.96,0.93,0.94,3.45,1.09,1.74,1.09,1.27,1.12,0.57
b_0,0.94,0.86,0.86,0.75,0.43,0.42,1.35,1.12,1.26,1.38,2.71,1.1,1.51,1.26,2.95,1.24
f_0,0.56,0.61,0.95,0.98,0.79,0.9,1.18,1.17,1.05,1.22,1.35,2.79,1.15,2.95,1.39,1.35
h_0,1.12,0.7,0.81,0.85,0.65,0.75,0.72,1.19,1.27,1.48,1.39,1.07,0.84,0.97,1.19,1.58
e_0,0.78,0.49,0.89,1.07,0.88,0.72,1.26,1.13,1.24,1.1,1.15,1.42,1.08,3.16,1.47,1.61
a_0,0.99,0.81,0.78,1.02,0.82,0.25,1.03,1.47,1.29,0.92,1.21,1.15,1.52,1.51,3.41,1.36
g_0,0.64,0.67,0.74,1.53,0.71,0.68,1.05,0.83,1.24,0.89,1.21,1.92,1.03,1.38,1.34,0.85
