,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,10.55,2.05,0.63,0.65,0.54,0.56,0.86,0.93,0.76,0.84,0.91,0.58,0.88,0.61,0.92,1.02
e_1,0.73,9.85,1.09,0.58,0.63,0.55,0.88,2.51,0.82,0.87,1.12,1.0,1.1,0.78,1.07,0.85
c_1,0.6,0.48,11.84,0.65,2.22,0.98,0.93,0.78,0.54,0.87,0.54,0.99,0.96,1.13,0.74,0.81
d_1,0.98,0.67,0.5,14.43,0.59,0.57,1.03,0.59,2.82,0.94,1.34,0.92,1.17,0.95,1.06,1.08
b_1,0.59,0.54,0.64,0.74,12.82,2.18,0.92,0.77,0.81,0.87,0.59,0.98,0.8,1.02,0.61,0.94
a_1,0.72,0.54,0.72,0.78,0.62,18.42,1.1,0.92,1.01,1.12,1.03,1.28,1.05,0.99,0.67,0.93
h_1,1.21,0.74,0.75,1.05,0.72,0.54,3.27,0.82,0.94,1.55,1.12,1.15,0.74,1.24,1.35,1.44
d_0,0.64,0.72,2.21,0.55,1.06,0.63,1.02,1.74,0.72,0.98,0.96,1.15,1.02,1.22,1.1,1.06
c_0,0.84,0.75,0.67,1.04,0.53,0.73,1.29,1.01,2.29,1.28,3.52,1.09,1.18,1.18,1.54,1.42
g_1,0.69,0.73,0.82,1.61,0.59,0.65,0.95,0.81,1.03,4.22,1.02,1.92,0.95,1.38,1.14,0.79
b_0,1.09,0.87,0.91,0.87,0.46,0.41,1.18,1.05,1.03,1.28,2.82,0.98,1.55,1.04,3.98,1.32
f_0,0.64,0.51,1.0,1.11,0.79,0.77,1.12,1.04,1.09,1.15,1.21,2.82,0.99,3.52,1.39,1.31
h_0,1.25,0.73,0.77,1.0,0.62,0.72,0.72,0.91,0.99,1.52,1.23,0.97,0.92,0.92,1.13,1.66
e_0,0.81,0.51,0.91,1.07,0.87,0.77,1.04,0.78,1.13,1.1,1.01,1.29,1.02,2.93,1.37,1.52
a_0,1.01,0.76,0.87,0.84,0.89,0.39,1.2,1.38,1.18,0.95,1.28,1.05,1.53,1.4,3.49,1.33
g_0,0.68,0.62,0.71,2.17,0.68,0.61,1.03,0.72,1.37,0.85,1.2,1.91,1.07,1.41,1.27,0.81
