,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,94.01,75.91,69.71,73.6,98.94,257.61,8988.99,13563.12,21415.22,19107.49,28620.53,25332.9,66846.92,99319.39,121858.73,228956.44
e_1,38.33,99.62,96.2,77.6,82.18,297.12,9728.05,21412.04,18798.78,19222.86,38576.81,44084.05,96753.19,106630.35,157618.85,227495.33
c_1,40.79,31.43,142.54,65.71,156.3,247.1,8477.64,9318.2,10219.03,15012.5,19420.12,34363.89,72676.08,132514.97,100260.89,165222.12
d_1,45.17,41.32,51.59,154.38,84.28,188.7,7184.73,7104.33,26791.11,14450.35,28409.03,34266.65,82813.5,106325.64,120274.36,172720.14
b_1,33.74,34.31,47.29,62.54,194.82,400.91,6650.66,9458.82,15191.63,13754.29,14025.41,30969.91,66244.05,107362.25,77971.29,156503.97
a_1,24.96,21.8,38.4,50.57,50.81,451.72,6237.01,8108.41,12820.04,14833.08,22396.02,24940.43,41269.46,79427.32,62782.27,123102.1
h_1,12.89,10.66,14.6,21.3,24.16,56.29,3722.29,2878.53,4528.23,5941.69,6985.69,9493.23,13962.16,34694.71,34196.72,66486.92
d_0,9.15,8.79,26.11,11.81,27.19,53.5,1957.2,4090.47,4370.36,4425.29,7478.95,9465.95,18629.11,34154.98,26397.23,52867.41
c_0,8.69,8.85,11.95,14.56,18.25,50.46,2034.15,2446.74,5853.64,3853.55,10286.2,8767.23,16744.12,24013.19,28748.3,45765.52
g_1,7.4,7.61,15.21,20.3,18.74,49.76,1411.79,2210.29,3697.43,6868.25,5366.74,10055.63,14195.36,27679.27,26359.99,18428.96
b_0,8.26,7.48,14.64,11.92,11.74,30.02,1745.8,2101.13,3189.56,3707.79,8441.0,6253.8,15144.03,24651.01,43090.84,35946.14
f_0,5.52,6.3,12.42,13.84,15.74,42.73,1523.67,1990.6,2812.05,2897.85,5262.15,9921.88,13326.76,39371.89,23969.03,30800.79
h_0,7.65,5.29,9.89,9.94,11.21,36.76,900.01,1843.49,2973.46,3075.03,4430.87,4792.09,8637.6,15134.67,15867.08,36077.2
e_0,5.19,2.95,7.8,10.45,11.66,25.4,1043.05,1346.88,2314.75,1881.78,2878.59,3883.8,8666.0,24409.77,16726.9,26999.52
a_0,5.32,4.54,7.73,9.62,12.43,,898.14,1660.2,2281.06,1698.34,2765.95,3925.5,10157.48,15956.99,25336.38,23133.35
g_0,3.57,3.94,7.05,11.23,9.19,26.26,770.35,1064.27,2098.97,1947.08,3229.47,5228.89,6007.51,12138.87,13561.04,15822.07
