,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.33,0.9,0.82,0.88,0.78,0.59,0.67,0.64,0.65,0.54,0.54,0.44,0.44,0.48,0.6
e_1,0.75,1.0,1.27,0.93,0.84,0.94,0.74,0.91,0.57,0.68,0.71,0.69,0.68,0.66,0.63,0.6
c_1,1.11,0.79,1.0,1.05,1.37,0.89,0.8,0.47,0.57,0.58,0.49,0.58,0.6,0.61,0.49,0.52
d_1,1.22,1.08,0.95,1.0,0.94,0.73,0.64,0.69,0.84,0.54,0.68,0.6,0.69,0.49,0.57,0.45
b_1,1.13,1.18,0.73,1.07,1.0,1.31,0.72,0.69,0.69,0.69,0.69,0.67,0.69,0.58,0.51,0.59
a_1,1.29,1.06,1.13,1.38,0.76,1.0,0.97,0.9,0.82,0.95,1.05,0.78,0.64,0.73,1.36,0.68
h_1,1.66,1.45,1.25,1.5,1.35,1.0,1.0,0.95,0.82,1.17,0.81,0.87,0.85,0.82,0.89,0.98
d_0,1.49,1.11,2.08,1.42,1.66,1.09,1.05,1.0,0.96,1.04,1.01,0.96,0.88,0.89,0.71,0.94
c_0,1.66,1.56,1.89,1.17,1.43,1.18,1.18,1.05,1.0,1.05,1.35,1.06,0.9,0.83,0.9,0.88
g_1,1.53,1.43,1.69,1.84,1.48,1.14,0.85,0.96,0.96,1.0,0.9,1.09,0.79,0.97,0.98,0.54
b_0,1.77,1.43,2.12,1.39,1.65,0.98,1.19,1.02,0.76,1.13,1.0,0.89,0.96,0.99,1.31,0.85
f_0,1.81,1.54,1.66,1.64,1.49,1.24,1.18,1.04,0.92,0.87,1.06,1.0,1.02,1.32,1.0,0.72
h_0,2.2,1.47,1.73,1.49,1.39,1.48,1.18,1.18,1.12,1.25,1.07,0.98,1.0,0.87,0.84,1.17
e_0,2.34,1.49,1.69,2.02,1.67,1.36,1.25,1.08,1.21,1.03,0.98,0.81,1.12,1.0,1.07,1.08
a_0,2.11,1.63,1.96,1.85,2.11,,1.15,1.39,1.1,1.08,0.74,0.99,1.2,1.07,1.0,0.95
g_0,1.67,1.73,1.96,2.23,1.66,1.56,1.05,1.09,1.16,1.68,1.19,1.36,0.82,0.91,1.04,1.0
