,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,11.26,1.94,0.64,0.65,0.62,0.55,0.8,0.68,0.73,0.98,0.76,0.62,1.01,1.07,0.82,0.56
e_1,0.71,10.65,0.6,1.05,0.65,0.68,0.88,0.83,0.81,2.38,1.04,1.02,0.95,0.99,0.91,0.76
d_1,0.82,0.65,11.83,0.49,0.62,0.78,0.98,1.15,2.67,0.66,1.33,0.96,1.08,0.94,1.07,0.97
c_1,0.61,0.53,0.69,13.48,1.77,0.67,0.87,0.8,0.53,0.76,0.55,1.02,0.78,0.68,0.92,1.0
b_1,0.63,0.61,0.72,0.68,12.88,1.72,1.02,0.94,0.9,0.91,0.64,0.87,1.18,0.78,0.89,1.01
a_1,0.88,0.64,0.76,0.8,0.69,16.57,1.11,0.99,0.82,0.9,1.16,1.0,0.96,0.7,1.03,1.28
h_1,1.07,0.6,1.1,0.76,0.55,0.68,3.23,1.43,0.98,0.84,1.35,1.07,0.76,1.22,1.66,1.28
g_1,0.67,0.65,1.63,0.69,0.7,0.71,0.94,3.79,1.25,0.66,1.24,1.83,1.01,1.16,0.85,1.1
c_0,0.85,0.74,0.97,0.63,0.59,0.8,1.09,1.22,2.3,0.96,3.43,1.4,1.26,1.58,1.55,1.23
d_0,0.74,0.73,0.54,2.68,0.9,0.65,0.86,1.07,0.54,1.72,1.0,0.95,0.82,0.87,0.98,1.19
b_0,0.84,0.68,0.93,0.86,0.66,0.61,1.31,1.41,1.17,0.93,2.67,1.47,1.32,3.41,1.41,1.31
f_0,0.65,0.55,0.91,0.93,0.73,0.96,1.39,1.26,1.22,0.9,1.23,2.58,1.17,1.27,1.31,3.38
h_0,1.25,0.81,0.83,0.7,0.69,0.73,0.76,1.56,0.98,0.86,1.02,1.14,0.74,1.33,1.62,0.79
a_0,0.91,0.63,1.04,0.81,0.78,0.51,1.37,1.49,1.18,0.97,1.29,1.0,1.41,3.24,1.3,1.21
g_0,0.7,0.57,1.7,0.75,0.68,0.79,1.22,0.94,1.11,0.76,1.23,1.91,1.03,1.17,0.83,1.51
e_0,0.87,0.43,0.97,0.87,0.74,0.83,1.37,1.34,1.16,0.7,1.18,1.52,1.25,1.27,1.23,3.39
