,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.5,0.78,0.44,0.4,0.43,0.34,0.48,0.48,0.5,0.5,0.48,0.26,0.59,0.48,0.5,0.32
e_1,0.42,1.52,0.47,0.51,0.43,0.41,0.55,0.43,0.59,0.96,0.48,0.57,0.64,0.45,0.64,0.3
d_1,0.59,0.44,1.52,0.38,0.42,0.32,0.52,0.58,0.9,0.3,0.62,0.47,0.58,0.47,0.5,0.43
c_1,0.53,0.44,0.57,1.56,0.69,0.32,0.51,0.39,0.22,0.48,0.45,0.57,0.41,0.37,0.6,0.43
b_1,0.46,0.51,0.5,0.43,1.59,0.59,0.64,0.45,0.6,0.5,0.29,0.51,0.67,0.39,0.5,0.47
a_1,0.61,0.48,0.52,0.49,0.4,1.74,0.59,0.51,0.5,0.54,0.69,0.63,0.77,0.28,0.58,0.56
h_1,0.98,0.63,0.85,0.71,0.55,0.58,1.68,0.95,0.91,0.93,0.89,0.65,0.59,0.65,1.08,0.72
g_1,0.67,0.72,0.97,0.86,0.63,0.55,0.74,1.76,0.96,0.77,0.86,1.18,0.79,0.66,0.64,0.65
c_0,0.86,0.72,0.68,0.61,0.7,0.79,0.87,0.83,1.51,1.03,1.53,1.05,0.9,0.94,0.95,0.7
d_0,0.85,0.62,0.41,1.28,0.76,0.65,0.8,0.98,0.73,1.47,0.82,0.87,0.92,0.69,0.86,0.78
b_0,0.89,0.74,0.73,0.91,0.44,0.62,0.89,1.02,0.82,0.99,1.57,0.95,0.89,1.31,0.99,0.99
f_0,0.39,0.7,0.84,0.83,0.82,0.79,1.18,0.69,0.89,1.05,1.02,1.55,0.98,0.83,0.82,1.45
h_0,1.01,0.7,0.83,0.81,0.72,0.62,0.56,1.24,1.0,0.95,0.94,1.02,0.62,0.99,1.17,0.64
a_0,0.79,0.84,0.98,0.83,0.87,0.36,1.07,1.21,0.91,0.9,0.9,1.06,1.01,1.71,0.93,0.66
g_0,0.78,0.71,1.11,0.8,0.72,0.81,0.93,0.67,0.9,0.98,0.89,1.22,0.9,0.84,0.55,1.2
e_0,0.99,0.37,0.9,1.03,0.73,0.64,1.1,0.96,0.97,1.08,0.93,0.88,1.29,1.04,0.59,1.72
