,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.87,1.11,1.27,1.54,4.21,18.54,23.61,45.05,32.61,42.15,47.57,77.87,78.66,114.08,187.26
f_1,1.15,1.0,1.19,1.15,1.51,4.2,15.72,30.36,27.6,25.92,36.06,43.43,65.42,50.55,140.44,86.36
d_1,0.9,0.84,1.0,1.04,1.54,3.52,17.12,16.68,21.56,33.99,35.81,31.46,54.94,62.77,83.22,87.49
c_1,0.79,0.87,0.96,1.0,2.06,2.44,13.26,17.29,16.1,18.8,24.64,30.7,55.07,62.3,101.07,104.05
b_1,0.65,0.66,0.65,0.48,1.0,2.97,8.55,12.44,15.69,16.2,14.18,31.2,38.86,39.1,56.99,56.05
a_1,0.24,0.24,0.28,0.41,0.34,1.0,6.01,5.66,7.94,8.06,8.69,8.99,19.54,19.6,26.91,38.22
h_1,0.05,0.06,0.06,0.08,0.11,0.16,1.0,1.46,1.63,1.78,2.24,2.34,3.45,4.47,8.59,7.89
g_1,0.04,0.03,0.06,0.06,0.08,0.17,0.68,1.0,1.07,1.23,1.3,1.99,2.38,2.22,4.41,5.13
d_0,0.02,0.04,0.05,0.06,0.06,0.12,0.61,0.98,1.0,0.99,1.23,1.47,1.88,2.56,3.95,3.99
c_0,0.03,0.04,0.03,0.05,0.06,0.14,0.55,0.81,1.01,1.0,1.62,1.71,2.39,2.48,4.2,3.73
b_0,0.02,0.03,0.03,0.04,0.06,0.12,0.46,0.76,0.83,0.62,1.0,1.26,2.5,2.3,3.85,3.14
f_0,0.02,0.02,0.03,0.03,0.03,0.1,0.45,0.51,0.69,0.59,0.83,1.0,1.78,2.32,2.1,4.25
a_0,0.01,0.02,0.02,0.02,0.03,,0.29,0.41,0.52,0.39,0.42,0.58,1.0,0.79,1.81,2.3
h_0,0.01,0.02,0.02,0.02,0.03,0.05,0.22,0.45,0.39,0.42,0.45,0.45,1.21,1.0,1.9,1.47
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.12,0.24,0.25,0.24,0.27,0.48,0.55,0.54,1.0,0.98
e_0,,0.01,0.01,0.01,0.02,0.03,0.13,0.2,0.23,0.28,0.31,0.22,0.44,0.63,0.96,1.0
