,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.43,0.74,1.17,1.2,1.18,1.28,0.33,0.37,0.28,0.26,0.28,0.33,0.26,0.18,0.2,0.4
f_1,1.04,0.43,1.07,1.12,1.18,1.06,0.26,0.46,0.27,0.23,0.23,0.37,0.23,0.12,0.19,0.2
d_1,1.51,1.15,0.41,1.23,1.17,1.17,0.34,0.21,0.35,0.21,0.24,0.22,0.19,0.16,0.12,0.2
c_1,1.07,1.21,1.46,0.41,1.22,0.96,0.34,0.33,0.15,0.38,0.26,0.22,0.26,0.18,0.2,0.21
b_1,1.45,1.51,1.37,0.77,0.37,1.41,0.38,0.4,0.3,0.4,0.51,0.31,0.31,0.21,0.19,0.24
a_1,2.08,1.68,1.55,1.96,0.84,0.31,0.65,0.44,0.39,0.33,0.39,0.35,0.58,0.25,0.29,0.3
h_1,2.03,1.97,2.07,2.08,2.42,1.69,0.31,0.55,0.46,0.49,0.47,0.38,0.4,0.41,0.29,0.36
g_1,2.29,2.63,2.09,2.31,2.38,1.84,0.5,0.29,0.52,0.47,0.47,0.39,0.46,0.28,0.35,0.45
d_0,1.4,2.37,3.91,2.5,2.82,2.22,0.82,0.89,0.34,0.55,0.56,0.53,0.59,0.41,0.36,0.49
c_0,2.3,3.02,1.35,4.12,2.62,2.47,0.71,0.68,0.84,0.32,0.54,0.49,0.51,0.41,0.3,0.5
b_0,2.32,2.33,2.01,3.23,4.03,2.23,0.73,0.75,0.59,0.29,0.3,0.53,0.49,0.36,0.35,0.52
f_0,2.3,4.21,2.59,2.54,2.67,2.38,0.77,0.43,0.51,0.46,0.53,0.3,0.49,0.42,0.22,0.51
a_0,2.96,2.97,2.81,2.94,3.44,3.88,0.81,0.96,0.72,0.51,0.36,0.56,0.31,0.39,0.39,0.56
h_0,2.84,3.15,2.68,2.89,2.88,2.25,1.06,0.92,0.69,0.59,0.58,0.54,0.61,0.62,0.41,0.58
g_0,3.25,3.1,3.59,3.2,3.55,3.19,0.78,1.22,0.7,0.73,0.66,0.71,0.57,0.4,0.58,0.56
e_0,3.67,5.13,3.53,3.17,2.99,2.62,0.87,0.77,0.61,0.75,0.7,0.34,0.64,0.48,0.42,0.29
