,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,37.75,0.11,0.06,0.06,0.06,0.08,0.26,0.34,0.4,0.45,0.39,,0.35,0.64,,0.62
e_1,0.07,38.62,0.04,0.07,0.1,0.06,0.29,0.18,0.38,0.72,0.29,0.38,0.41,0.55,,0.55
d_1,0.08,0.07,39.62,0.07,0.07,0.07,0.29,0.27,0.64,,0.35,0.52,0.4,0.56,0.34,0.57
c_1,0.05,0.07,0.07,40.99,0.14,0.08,0.3,0.2,,0.49,0.24,0.36,0.32,0.7,0.3,0.69
b_1,0.08,0.06,0.07,0.07,45.37,0.11,0.27,0.2,0.31,0.33,,0.35,0.43,0.77,0.55,0.59
a_1,0.08,0.06,0.08,0.06,0.07,70.57,0.25,0.29,0.29,0.49,0.23,0.37,,0.65,0.43,0.7
h_1,0.4,0.24,0.29,0.23,0.27,0.16,29.69,1.72,2.1,1.15,1.32,1.24,1.06,,1.12,3.09
g_1,0.22,0.19,0.48,0.31,0.21,0.2,0.91,34.71,0.99,1.0,1.41,3.15,1.33,2.36,1.83,
c_0,0.28,0.35,0.38,,0.33,0.42,1.59,1.69,18.91,1.77,4.24,2.41,2.14,2.75,1.47,2.12
d_0,0.33,0.38,,0.73,0.38,0.39,2.68,1.06,1.22,18.65,2.11,1.68,1.68,2.68,1.37,2.61
b_0,0.42,0.44,0.36,0.28,,0.28,1.32,1.54,2.02,1.69,21.28,2.31,3.5,3.3,1.69,2.99
f_0,,0.36,0.41,0.41,0.23,0.41,1.24,1.53,2.7,2.12,1.93,23.33,1.91,2.86,5.14,2.14
a_0,0.32,0.26,0.4,0.34,0.3,,1.54,1.06,1.97,2.09,2.5,1.65,29.78,4.53,,3.08
h_0,0.75,0.48,0.48,0.47,0.46,0.48,,4.49,3.33,3.15,3.59,1.79,2.73,,3.66,5.66
e_0,0.27,,0.35,0.37,0.24,,1.86,1.74,2.26,2.52,1.96,1.89,1.86,3.13,35.5,3.3
g_0,0.46,0.58,0.8,0.59,0.53,0.61,2.48,,3.27,1.82,3.91,4.16,2.53,3.31,3.09,
