,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.55,1.43,0.96,1.03,0.89,0.85,1.03,0.98,1.02,1.23,1.1,0.9,1.0,1.13,0.71,1.18
e_1,0.96,1.56,0.88,1.17,1.07,0.85,1.26,1.06,1.07,1.81,1.2,1.18,1.07,1.26,0.98,1.15
d_1,1.16,1.02,1.57,0.9,0.93,0.89,1.14,1.03,1.67,1.01,1.35,1.24,1.11,1.29,1.02,1.09
c_1,0.99,0.97,1.05,1.57,1.52,0.82,1.04,0.88,0.89,0.98,0.84,0.99,1.0,1.17,0.89,1.13
b_1,1.14,0.9,1.07,0.93,1.6,1.36,1.13,1.12,1.31,1.11,1.01,1.08,0.9,1.48,1.06,1.29
a_1,1.18,1.11,1.2,1.15,0.84,1.75,1.44,1.27,1.39,1.27,1.34,1.23,1.05,1.46,1.18,1.39
h_1,1.55,1.24,1.47,1.22,1.12,0.89,1.9,1.66,1.42,1.35,1.46,1.33,1.27,1.32,1.17,1.78
g_1,1.35,1.15,1.67,1.33,1.18,0.99,1.24,1.98,1.35,1.19,1.34,1.77,1.33,1.44,1.44,1.35
c_0,1.42,1.31,1.38,1.29,0.99,1.04,1.61,1.54,1.87,1.65,2.25,1.55,1.68,1.65,1.42,1.6
d_0,1.27,1.15,1.17,1.94,1.43,0.98,1.52,1.45,1.08,1.82,1.29,1.35,1.35,1.55,1.19,1.55
b_0,1.48,1.39,1.43,1.43,1.02,0.83,1.52,1.57,1.35,1.5,1.91,1.53,2.31,1.84,1.32,1.4
f_0,1.36,1.19,1.47,1.49,1.29,1.09,1.6,1.45,1.65,1.5,1.52,1.88,1.45,1.81,2.24,1.41
a_0,1.56,1.27,1.49,1.4,1.47,0.91,1.86,1.52,1.47,1.49,1.42,1.57,1.93,1.92,1.44,1.6
h_0,1.77,1.34,1.53,1.33,1.13,1.19,1.32,1.87,1.49,1.43,1.48,1.36,1.28,1.46,1.3,1.89
e_0,1.74,1.0,1.61,1.5,1.25,1.25,1.75,1.51,1.56,1.6,1.61,1.24,1.44,1.63,1.99,1.74
g_0,1.33,1.25,1.95,1.4,1.28,1.12,1.51,1.55,1.63,1.28,1.62,2.0,1.57,1.52,1.51,1.53
