,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,35.95,0.12,0.06,0.08,0.06,0.08,0.31,0.27,0.35,0.35,0.4,,0.56,0.3,0.36,0.51
e_1,0.06,36.4,0.07,0.05,0.07,0.04,0.34,0.17,0.62,0.4,0.34,0.48,0.6,0.35,,0.59
d_1,0.05,0.06,39.93,0.06,0.08,0.08,0.24,0.26,,0.75,0.37,0.43,0.57,0.36,0.28,0.75
c_1,0.09,0.08,0.04,42.56,0.18,0.05,0.27,0.27,0.26,,0.27,0.4,0.59,0.44,0.3,0.47
b_1,0.07,0.06,0.05,0.07,51.6,0.13,0.46,0.2,0.51,0.38,,0.27,0.47,0.31,0.42,0.48
a_1,0.08,0.08,0.05,0.08,,77.07,0.37,0.29,0.27,0.33,0.37,0.36,0.58,,,
h_1,0.34,0.21,0.26,0.21,0.29,0.26,26.27,1.83,1.92,1.46,1.07,1.25,,1.35,1.15,2.77
g_1,0.24,0.19,0.46,0.27,0.21,0.25,1.01,31.79,1.05,1.44,1.69,1.91,2.33,1.05,1.66,
d_0,0.41,0.28,,0.73,0.41,0.39,1.53,1.47,17.78,1.68,1.33,1.77,3.28,1.27,2.68,2.7
c_0,0.3,0.33,0.34,,0.2,0.28,1.37,1.99,1.86,18.74,3.78,1.8,4.13,1.67,1.28,3.59
b_0,0.39,0.35,0.38,0.28,,0.26,1.26,1.19,1.71,1.61,20.78,2.47,3.64,3.75,1.89,2.16
f_0,,0.26,0.4,0.38,0.27,0.42,1.37,1.06,2.78,1.51,2.73,22.36,2.0,2.66,3.64,3.26
h_0,0.65,0.5,0.68,0.6,0.4,0.5,,3.18,3.56,3.1,2.96,2.01,,2.92,2.8,5.69
a_0,0.43,0.4,0.38,0.34,0.28,,2.02,1.39,1.46,1.58,2.09,1.83,2.62,26.76,2.39,2.73
e_0,0.24,,0.25,0.27,0.33,0.42,1.16,1.68,2.3,2.67,1.8,1.84,4.85,1.9,32.16,3.54
g_0,0.41,0.53,0.88,0.49,0.51,0.59,1.86,,2.64,2.69,1.93,5.25,4.38,3.91,3.15,
