,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,103.55,76.42,120.23,92.64,166.43,418.57,14400.3,36639.87,27599.68,30938.91,38943.24,62973.64,120646.98,129677.92,121354.68,200626.89
f_1,95.46,115.45,91.54,91.14,131.92,382.57,12505.36,26251.41,25493.55,31962.89,36355.14,46817.51,104171.06,119187.12,93201.81,189853.9
c_1,54.67,75.0,133.6,90.95,222.19,402.74,12434.01,19369.89,22312.64,21406.22,24184.28,48939.51,112034.31,97226.23,124413.41,189328.5
d_1,66.82,75.75,72.59,138.54,133.31,408.91,13386.59,20575.12,23784.76,45796.85,40281.23,54954.87,109369.92,124997.2,128722.54,173051.36
b_1,47.6,67.3,64.76,75.75,201.83,637.68,12119.24,17229.61,19301.66,27718.36,23657.3,43194.22,106594.34,71942.85,108446.91,165230.37
a_1,38.19,51.64,56.66,54.21,69.41,485.33,8881.68,13161.92,13709.06,17007.04,24609.28,31191.09,75477.47,59575.91,84015.84,108845.27
h_1,13.68,21.11,22.53,22.68,33.96,86.58,4244.3,4620.73,6504.05,5984.34,7783.35,11313.36,26170.19,26722.69,30540.69,53261.1
d_0,11.52,14.28,27.29,14.21,35.67,87.62,3148.53,5679.91,4866.5,4503.26,6109.75,10630.78,24744.61,20085.16,29631.73,42277.99
g_1,11.92,12.84,17.04,24.89,29.13,69.34,2657.43,3769.5,6837.71,6456.04,6765.98,13660.87,18896.72,22673.13,26544.25,35905.19
c_0,13.51,14.4,17.5,16.34,22.12,73.09,2823.73,4979.74,4596.13,7103.89,9375.5,10030.11,21496.9,26253.75,24812.36,36009.9
b_0,11.18,13.18,20.05,17.19,24.23,55.46,2438.95,4429.93,4510.47,4979.95,7769.03,9807.61,20811.22,32433.78,26717.03,37276.13
f_0,9.31,11.84,15.1,15.43,23.94,65.16,2531.67,3676.07,3879.72,5112.27,5653.23,10940.86,19148.27,19029.27,33230.58,27493.55
h_0,8.17,11.9,11.32,13.79,15.69,46.03,1590.85,2612.88,3757.02,4021.67,4593.35,7368.38,13655.29,13810.14,16518.66,29162.6
a_0,8.28,8.87,11.78,12.36,20.54,37.98,1633.34,3169.63,3083.62,3694.71,3659.67,6399.56,13834.09,18751.44,16433.33,23556.9
e_0,6.84,10.95,11.69,10.67,17.8,47.95,1845.42,2433.75,3052.35,3468.08,3999.31,5693.3,15622.7,13104.3,21112.98,23118.03
g_0,6.46,8.61,9.64,13.1,15.38,45.62,1340.53,2143.95,2473.52,3515.22,3742.46,7440.79,13638.22,11549.77,16595.7,20042.72
