,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.12,4.0,3.9,4.42,4.16,3.64,0.86,1.19,1.05,0.83,1.69,0.92,0.43,0.8,0.77,0.82
e_1,2.51,1.12,4.66,4.65,4.32,4.75,1.49,1.39,0.97,0.92,1.24,1.17,0.66,1.07,2.11,0.7
d_1,4.94,5.2,1.11,4.4,4.48,3.99,1.2,0.87,2.32,0.79,0.72,0.76,0.61,0.7,0.91,0.41
c_1,5.29,4.52,5.94,1.12,5.07,5.89,1.4,1.46,0.55,1.74,0.93,0.94,0.76,1.06,0.96,0.7
b_1,6.83,4.98,7.02,3.26,1.14,5.91,1.89,1.93,1.15,1.6,1.18,2.91,1.11,1.18,1.2,0.84
a_1,9.39,10.45,9.17,10.95,4.04,1.14,2.15,2.34,1.72,2.28,2.01,2.43,1.39,4.3,1.67,1.25
h_1,15.65,16.19,15.72,16.4,12.74,12.08,1.73,4.24,3.63,3.08,2.85,3.18,3.6,2.87,2.37,2.47
g_1,18.37,17.67,16.67,17.13,17.26,14.32,3.99,1.79,3.73,4.02,3.72,3.41,1.78,4.03,3.86,3.18
d_0,20.05,10.73,30.76,21.99,17.26,23.56,5.53,6.27,2.18,4.45,3.96,3.87,2.96,4.12,2.86,3.65
c_0,21.95,20.55,10.56,52.54,23.27,20.23,7.69,5.69,6.82,2.21,3.8,4.52,3.05,4.6,4.71,2.41
f_0,39.05,19.15,19.39,21.99,24.78,21.89,7.83,4.56,4.02,4.59,2.19,4.08,3.6,4.83,4.2,1.95
b_0,21.57,21.52,18.68,35.63,49.56,21.64,7.22,6.61,5.18,2.29,6.18,2.17,3.03,5.67,3.78,3.08
h_0,30.41,27.92,25.67,36.9,30.07,24.81,16.27,10.79,7.51,6.13,6.77,5.6,6.83,5.59,5.01,4.77
a_0,29.21,31.53,27.88,35.23,46.95,68.93,10.0,7.49,6.49,5.07,7.49,3.2,4.29,2.51,5.85,3.95
e_0,38.25,48.77,28.54,27.68,30.41,30.51,9.33,8.25,9.03,5.48,3.31,6.99,5.93,6.11,2.46,3.84
g_0,48.18,39.33,40.09,44.93,44.6,37.98,9.22,18.35,9.97,7.55,6.94,7.37,4.43,6.86,8.39,8.71
