,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,2.4,1.82,1.1,1.2,1.1,1.09,2.15,2.22,2.52,2.42,1.69,2.87,2.8,2.78,2.23,3.24
e_1,1.12,2.42,1.13,1.37,1.41,1.09,2.27,2.51,4.28,2.8,3.23,3.02,3.58,2.9,2.26,3.66
d_1,1.36,1.21,2.47,1.1,1.09,1.13,2.29,2.25,1.98,4.29,2.78,2.82,3.67,2.81,3.17,3.18
c_1,1.21,1.14,1.27,2.63,1.96,1.05,2.22,2.31,2.06,1.14,2.71,1.95,2.97,2.62,2.87,3.07
b_1,1.28,1.16,1.26,1.07,2.81,2.15,2.76,2.33,2.91,2.32,2.41,1.72,3.52,1.95,2.68,3.06
a_1,1.42,1.23,1.34,1.19,1.02,3.37,2.58,2.44,2.07,2.9,2.79,2.91,3.76,1.57,2.67,3.4
h_1,1.74,1.2,1.45,1.44,1.22,1.39,4.08,3.1,2.94,2.27,2.52,2.77,2.7,2.8,2.81,4.58
g_1,1.36,1.24,1.76,1.42,1.23,1.29,2.49,4.27,2.55,2.92,3.81,2.72,2.89,3.28,3.06,2.75
d_0,1.32,1.14,0.89,2.4,1.45,1.65,2.56,2.93,4.07,2.1,3.28,2.57,3.46,3.28,2.48,3.78
c_0,1.54,1.37,1.32,1.32,1.14,1.23,3.02,2.58,3.02,4.19,2.83,5.49,3.9,3.9,3.45,3.92
f_0,1.1,1.08,1.52,1.51,1.55,1.45,2.97,2.44,2.82,3.35,4.42,2.57,3.85,2.72,5.37,3.95
b_0,1.46,1.13,1.49,1.74,1.08,1.04,2.69,2.7,3.25,2.46,3.41,4.53,4.14,5.78,2.91,4.15
h_0,1.83,1.31,1.4,1.34,1.11,1.23,2.19,3.64,2.79,2.79,2.75,3.16,2.95,3.09,2.49,4.9
a_0,1.34,1.2,1.7,1.46,1.61,0.92,2.76,2.5,2.64,2.56,3.17,2.34,3.96,4.95,3.31,4.52
e_0,1.55,0.94,1.36,1.37,1.48,1.5,3.21,2.32,3.77,2.82,2.74,3.46,4.68,3.3,5.0,3.21
g_0,1.23,1.17,1.92,1.42,1.4,1.25,2.21,2.37,2.46,3.34,4.09,3.01,3.17,3.16,3.55,3.05
