,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.4,0.79,0.92,0.71,0.98,0.63,0.45,0.47,0.23,0.4,0.38,0.34,0.33,0.36,0.33,0.29
f_1,0.82,0.4,0.77,0.91,0.75,0.68,0.34,0.49,0.37,0.34,0.46,0.33,0.24,0.27,0.34,0.34
d_1,0.87,0.75,0.4,0.89,0.85,0.86,0.43,0.3,0.55,0.38,0.31,0.37,0.3,0.37,0.31,0.22
e_1,0.87,0.54,0.89,0.39,0.83,0.91,0.46,0.48,0.44,0.38,0.43,0.37,0.34,0.74,0.4,0.36
b_1,0.49,0.97,0.84,0.78,0.38,1.06,0.54,0.47,0.41,0.46,0.37,0.56,0.33,0.34,0.4,0.31
a_1,1.06,1.07,0.84,0.81,0.44,0.3,0.4,0.55,0.4,0.4,0.35,0.47,0.32,0.45,0.54,0.38
h_1,0.72,0.75,0.66,0.79,0.68,0.73,0.25,0.4,0.37,0.32,0.31,0.32,0.33,0.26,0.3,0.32
g_1,0.73,0.74,0.78,0.71,0.81,0.63,0.31,0.23,0.34,0.3,0.41,0.32,0.21,0.33,0.32,0.34
d_0,0.9,0.73,0.98,0.44,0.77,0.65,0.41,0.39,0.25,0.29,0.43,0.31,0.27,0.4,0.37,0.3
c_0,1.27,0.74,0.44,0.75,0.7,0.69,0.4,0.4,0.45,0.24,0.34,0.4,0.3,0.42,0.37,0.27
f_0,0.71,1.06,0.72,0.65,0.73,0.66,0.41,0.26,0.33,0.32,0.23,0.37,0.29,0.45,0.4,0.21
b_0,0.95,0.77,0.57,0.73,0.99,0.7,0.38,0.38,0.35,0.2,0.29,0.23,0.29,0.33,0.43,0.27
h_0,0.66,0.82,0.72,0.68,0.66,0.67,0.48,0.44,0.35,0.32,0.35,0.28,0.34,0.32,0.31,0.28
e_0,0.7,1.22,0.66,0.93,0.77,0.56,0.41,0.31,0.31,0.27,0.19,0.29,0.29,0.2,0.3,0.26
a_0,0.8,0.7,0.72,0.73,0.76,0.92,0.36,0.42,0.32,0.29,0.28,0.19,0.26,0.31,0.2,0.29
g_0,0.78,0.77,0.76,0.64,0.72,0.65,0.31,0.44,0.32,0.31,0.36,0.3,0.22,0.31,0.32,0.32
