,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,0.96,0.98,0.96,1.42,0.57,0.82,0.73,0.47,0.48,0.73,0.54,0.62,0.56,0.47,0.51
f_1,1.04,1.0,1.08,1.31,0.84,0.72,0.59,0.81,0.58,0.6,0.47,0.59,0.5,0.39,0.53,0.6
d_1,1.02,0.93,1.0,0.98,1.09,0.85,0.72,0.57,0.71,0.87,0.59,0.71,0.63,0.68,0.52,0.45
e_1,1.04,0.76,1.02,1.0,0.98,0.94,0.7,0.66,0.92,0.63,0.67,0.62,0.69,0.82,0.54,0.65
b_1,0.7,1.19,0.92,1.02,1.0,1.41,0.94,0.72,0.79,0.73,0.62,0.7,0.56,0.57,0.64,0.52
a_1,1.75,1.38,1.17,1.06,0.71,1.0,0.71,0.88,0.78,0.79,0.64,0.76,0.68,0.82,0.57,0.73
h_1,1.25,1.72,1.37,1.4,1.08,1.33,1.0,1.02,0.99,0.94,0.91,0.99,0.86,0.57,0.77,0.98
g_1,1.41,1.27,1.77,1.4,1.4,1.11,1.0,1.0,0.91,0.91,1.28,0.85,0.66,0.98,1.03,0.85
d_0,2.2,1.82,1.44,1.04,1.34,1.16,1.02,1.06,1.0,0.87,1.09,0.86,0.81,0.88,0.91,0.89
c_0,2.05,1.7,1.2,1.54,1.33,1.3,1.11,1.07,1.1,1.0,1.0,1.37,1.02,1.08,1.16,1.07
f_0,1.46,1.89,1.71,1.48,1.57,1.61,1.03,0.8,1.04,1.0,1.0,1.12,0.96,1.28,1.12,0.81
b_0,1.73,1.75,1.44,1.59,1.48,1.33,1.02,1.22,1.08,0.75,0.84,1.0,0.99,0.94,1.72,0.92
h_0,1.64,2.03,1.7,1.49,1.7,1.52,1.18,1.53,1.22,1.03,1.18,0.98,1.0,0.89,1.11,1.12
e_0,1.77,2.77,1.46,,1.81,1.21,1.53,0.96,1.05,0.88,0.81,1.08,1.29,1.0,1.02,1.09
a_0,2.15,1.79,2.0,1.68,1.59,,1.29,1.0,1.09,0.83,0.92,0.57,0.89,0.86,1.0,1.1
g_0,1.88,1.68,2.24,1.44,1.87,1.29,1.03,1.14,1.11,0.94,1.29,1.02,0.9,0.87,0.93,1.0
