,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,5.29,0.08,0.06,0.08,0.08,0.08,0.24,0.75,0.29,0.32,0.42,0.38,0.63,,0.35,0.57
f_1,0.13,5.68,0.06,0.08,0.1,0.09,0.31,0.37,0.2,0.4,0.44,,0.67,0.37,0.38,0.46
d_1,0.07,0.06,6.37,0.07,0.09,0.07,0.31,,0.26,0.85,0.43,0.5,0.59,0.48,0.38,0.42
c_1,0.06,0.06,0.1,6.61,0.12,0.11,0.38,0.3,0.3,,0.33,0.4,0.59,0.35,0.53,0.69
b_1,0.09,0.07,0.07,0.08,7.19,0.14,0.34,0.48,0.28,0.21,,0.52,0.88,0.38,,0.5
a_1,0.07,0.07,0.09,0.07,0.05,11.08,0.26,0.44,,0.58,0.3,0.35,0.56,0.44,,0.77
h_1,0.25,0.41,0.31,0.36,0.38,0.29,15.15,1.54,1.41,1.29,1.54,0.94,,1.47,1.0,2.63
d_0,0.41,0.43,,0.86,0.4,0.3,1.32,11.7,1.56,1.59,1.77,2.36,2.6,1.29,2.72,2.2
g_1,0.23,0.2,0.48,0.26,0.31,0.26,0.94,1.45,18.58,1.29,1.28,2.24,2.15,1.7,2.13,
c_0,0.37,0.43,0.5,,0.34,0.32,1.77,1.48,1.35,13.06,3.5,1.61,3.38,1.94,,3.28
b_0,0.53,0.43,0.37,0.29,,0.26,1.6,1.77,1.49,1.86,14.76,1.53,2.64,2.12,4.86,2.47
f_0,0.46,,0.36,0.22,0.35,0.52,2.06,1.69,2.16,2.13,1.95,15.38,2.81,3.33,,3.73
h_0,0.62,0.89,0.67,0.44,0.36,0.46,,3.95,3.05,3.29,2.32,2.59,,2.82,2.44,5.41
e_0,,0.51,0.36,0.39,0.33,,1.82,1.89,1.27,1.95,1.87,2.66,3.15,22.92,,3.66
a_0,0.4,0.47,0.44,0.37,,,1.64,1.47,1.45,1.37,2.63,2.11,2.79,,23.3,3.61
g_0,0.47,0.61,0.96,0.74,0.75,,1.72,2.43,,3.15,2.04,3.88,4.83,2.97,,
