,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,11.09,0.67,0.53,0.96,0.55,0.69,0.96,2.28,0.94,0.75,0.95,0.96,1.0,0.74,0.93,1.05
f_1,1.52,12.4,0.54,0.63,0.66,0.54,0.76,0.88,0.75,0.86,1.06,0.46,0.91,0.64,1.05,0.75
d_1,0.59,0.67,16.33,0.48,0.52,0.52,1.01,0.51,1.01,2.6,1.33,1.11,1.1,1.29,1.2,1.01
c_1,0.46,0.63,0.67,14.3,1.78,0.66,0.88,0.66,0.86,0.39,0.63,0.9,0.86,0.83,0.8,0.91
b_1,0.59,0.58,0.65,0.64,14.89,1.77,0.91,0.9,0.9,0.74,0.53,1.04,1.14,0.85,0.64,0.96
a_1,0.55,0.77,0.81,0.7,0.59,23.9,1.06,0.91,0.95,1.09,0.94,1.12,0.93,0.94,0.51,1.13
h_1,0.68,1.14,0.78,0.75,0.71,0.64,3.76,0.9,1.45,0.97,1.05,0.81,0.71,1.17,0.89,1.51
d_0,0.62,0.74,0.47,2.13,0.72,0.69,1.04,2.23,0.91,0.7,0.88,1.23,1.05,1.03,1.11,1.1
g_1,0.61,0.56,1.83,0.58,0.64,0.67,0.86,0.78,4.55,1.16,1.22,2.15,1.15,1.25,1.24,0.86
c_0,0.88,0.91,1.0,0.51,0.54,0.6,1.22,0.91,1.23,2.62,3.05,1.3,1.22,1.42,1.68,1.08
b_0,1.06,0.87,1.05,0.71,0.33,0.55,1.14,1.13,1.09,1.31,2.97,1.17,1.36,1.41,3.68,1.01
f_0,0.61,0.64,1.06,0.67,0.8,0.73,1.56,1.08,1.23,1.15,1.15,2.86,1.17,3.45,0.84,1.29
h_0,0.69,1.28,0.97,0.73,0.61,0.61,0.69,0.98,1.57,1.02,1.11,1.24,0.67,1.17,1.25,1.75
e_0,0.45,1.33,0.78,0.78,0.61,0.69,1.41,1.12,1.0,1.29,1.06,1.36,1.27,4.3,1.13,1.27
a_0,0.74,1.03,1.04,0.72,0.55,0.28,1.15,1.12,1.36,1.24,1.28,1.25,1.13,1.53,3.53,1.14
g_0,0.58,0.65,1.65,0.87,0.83,0.71,1.03,0.64,0.8,1.15,1.01,2.15,0.88,1.16,0.96,0.92
