,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,7630.45,2956.83,3636.0,6919.0,6685.52,39540.31,4881656.24,19918840.16,10838946.33,11791227.27,27046370.33,33715866.98,123248936.04,118399895.33,216943425.36,460969320.78
f_1,3445.5,10821.09,3986.35,4868.43,7200.01,35101.03,4173801.16,8955645.48,8487082.23,13208557.59,28911401.84,14408924.85,115706845.79,120920270.32,229707756.54,344596558.32
d_1,1977.77,2930.45,19313.78,4284.82,6273.12,33417.82,4892830.47,5474793.23,11622732.92,28755969.23,32912614.67,40673060.42,129579670.38,200190335.26,222568376.87,443733333.33
c_1,1681.48,2930.74,4274.1,22990.81,13307.61,39954.89,4772796.34,7908331.95,10409740.08,4924350.03,21611081.09,32257248.15,115636402.16,139662322.89,181229507.03,464248030.5
b_1,2092.86,2564.6,4263.03,4734.74,34833.58,81976.43,4847347.09,9921819.73,10247292.07,11326037.24,10551192.42,37822556.41,140038233.96,145633824.92,147340118.36,472158120.25
a_1,1779.68,3474.97,5024.29,5101.88,6328.64,299660.68,5415240.94,10626768.85,10552517.04,18069439.06,26790097.44,37217876.93,118532605.83,175178229.52,79888413.09,504257294.99
h_1,2463.45,4754.37,5319.08,6211.42,8865.26,44329.24,14292521.21,11056407.08,16800657.81,16164805.69,30563916.91,35245088.28,93413095.71,212477909.1,241775529.29,674391919.19
d_0,2557.14,3228.69,3146.14,12542.17,8584.03,48906.25,5369689.98,23389499.38,11591055.13,13189262.1,28203225.63,51604311.39,140432338.43,199943959.58,260350305.5,579376231.88
g_1,2455.56,2661.42,9881.65,4704.7,7711.43,52764.98,5102552.63,10402845.97,39332862.07,18743673.76,29879276.26,73832449.87,144929909.97,229990313.12,308641730.86,370288544.89
c_0,2872.14,3775.28,7074.21,3569.37,7350.84,38648.89,6156700.2,9861480.97,14043987.63,35586188.69,65278524.15,44305363.87,154657874.3,255461841.93,310879485.67,526352125.98
b_0,3346.86,3544.22,6408.95,5619.54,3351.96,39663.91,5993180.0,13421963.94,13769390.19,19631474.86,70476796.63,47156263.0,179749942.76,245325845.31,681956544.48,500456727.27
f_0,2404.84,2774.17,6385.42,5901.43,8378.17,51625.66,7690503.42,13543287.35,15392331.65,20815898.1,35329164.95,96027440.28,162726110.33,465120889.23,195491886.28,668085436.89
h_0,2622.71,4562.28,6645.31,6345.74,6442.76,44460.23,3456352.17,12543264.65,17779789.58,17511167.19,34776335.12,46189044.14,79072262.63,223380614.19,247952671.9,791497584.54
e_0,1551.15,4531.7,5404.06,6696.62,7172.58,47720.64,7227655.61,13382293.11,13346565.12,21814975.64,36615058.78,56519007.71,164614895.54,628081417.78,242530410.18,664722285.71
a_0,2631.72,4011.55,6862.36,6439.06,6970.72,22587.22,5772360.95,11807647.96,16628387.54,17887111.89,35740937.56,46342559.87,167623669.99,292252259.21,761092909.5,552713253.01
g_0,2120.71,3067.26,8454.08,7297.6,8891.01,43175.82,5791858.71,9673070.56,10144737.63,17995518.62,29533133.83,71800072.76,128761272.46,222355260.55,243470450.53,393216000.0
