,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.79,0.89,1.23,0.91,0.89,0.72,0.92,0.68,0.56,0.56,0.59,0.58,0.68,0.57,0.62
f_1,1.28,1.0,0.89,0.92,0.98,0.71,0.55,0.64,0.66,0.57,0.62,0.47,0.49,0.41,0.54,0.5
d_1,1.1,1.12,1.0,0.93,0.93,0.74,0.71,0.74,0.54,0.82,0.65,0.64,0.59,0.64,0.53,0.45
c_1,0.81,1.1,1.08,1.0,1.39,0.87,0.72,0.42,0.75,0.56,0.63,0.65,0.6,0.51,0.51,0.5
b_1,1.12,1.01,1.07,0.72,1.0,1.37,0.74,0.7,0.74,0.68,0.78,0.72,0.8,0.58,0.61,0.61
a_1,1.13,1.41,1.34,1.15,0.74,1.0,0.95,0.83,0.76,0.96,0.86,0.75,0.74,0.74,0.69,0.79
h_1,1.43,1.79,1.38,1.39,1.34,1.04,1.0,0.96,1.14,0.87,0.87,0.71,0.89,0.77,0.78,0.87
d_0,1.13,1.5,1.45,2.33,1.38,1.25,1.09,1.0,1.04,0.92,0.9,0.98,0.84,0.77,0.87,0.95
g_1,1.51,1.49,1.94,1.3,1.37,1.28,0.87,0.94,1.0,0.99,0.93,1.16,0.78,0.9,0.86,0.77
c_0,1.83,1.63,1.22,1.75,1.46,1.03,1.17,1.04,0.98,1.0,1.34,0.95,0.91,0.95,0.93,0.81
b_0,1.83,1.51,1.45,1.66,1.32,1.22,1.15,1.14,1.11,0.77,1.0,1.01,1.01,0.95,1.33,0.88
f_0,1.6,2.02,1.56,1.58,1.47,1.29,1.39,0.98,0.86,1.13,1.06,1.0,0.96,1.21,0.76,0.77
h_0,1.66,2.02,1.75,1.7,1.23,1.37,1.13,1.16,1.27,1.08,1.05,1.08,1.0,0.96,0.84,1.18
e_0,1.54,2.51,1.59,1.97,1.59,1.38,1.29,1.17,1.09,1.18,1.1,0.87,1.05,1.0,0.85,1.0
a_0,1.83,1.86,1.77,1.85,1.75,1.42,1.28,1.16,1.21,1.05,0.74,1.35,1.16,1.27,1.0,0.97
g_0,1.66,1.88,2.26,1.9,1.74,1.3,1.16,1.03,1.31,1.21,1.23,1.41,0.87,0.98,0.99,1.0
