,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.83,1.17,2.22,1.42,1.2,1.16,4.37,3.5,6.37,6.66,5.65,2.63,9.46,5.67,7.53,4.67
d_1,1.35,6.14,1.19,1.01,1.33,1.28,5.23,5.21,11.18,2.48,8.05,7.97,9.35,7.12,11.29,7.43
e_1,1.49,1.23,6.14,1.49,1.15,1.16,4.47,5.09,5.98,11.45,6.35,6.99,10.79,5.93,8.86,2.75
c_1,1.21,1.24,1.18,6.98,2.46,1.25,4.26,3.85,2.24,5.8,4.27,5.86,7.62,5.13,9.1,6.75
b_1,1.21,1.31,1.1,1.47,7.52,2.4,4.71,4.48,4.3,5.64,2.27,5.3,8.02,4.85,8.3,7.23
a_1,1.55,1.53,1.49,1.06,1.13,9.65,4.88,5.2,5.43,5.8,7.9,5.04,9.83,3.46,8.77,4.68
h_1,2.26,1.61,1.37,1.54,1.47,1.51,15.54,6.87,7.41,6.34,7.8,7.56,5.89,7.37,13.89,7.28
g_1,1.54,2.46,1.26,1.36,1.43,1.3,5.91,18.83,7.09,5.46,8.09,11.2,12.68,9.17,6.65,8.15
c_0,1.82,1.93,1.4,0.99,1.14,1.61,6.24,6.66,15.7,7.18,16.26,8.67,12.66,8.92,10.8,9.68
d_0,1.69,0.7,1.5,3.23,1.6,1.54,5.39,8.02,5.42,15.99,8.94,8.3,11.5,6.96,12.12,8.67
b_0,1.58,2.13,1.38,1.87,0.65,1.09,5.99,6.63,7.5,8.41,19.04,8.07,13.89,18.59,11.59,9.38
f_0,1.0,1.78,1.44,1.73,1.52,1.67,6.87,7.33,7.32,8.3,8.6,19.66,11.88,8.76,13.65,19.86
h_0,1.95,1.66,1.58,1.73,1.43,1.67,3.73,7.47,7.91,8.27,8.68,7.66,5.91,8.51,15.62,8.46
a_0,1.79,1.67,1.55,1.8,1.29,0.54,5.82,6.53,7.83,8.57,7.7,9.26,15.01,25.46,13.86,10.08
g_0,1.52,2.4,1.3,1.84,1.52,1.49,6.38,3.95,9.09,8.3,7.48,12.12,11.36,8.53,7.06,8.97
e_0,1.49,1.91,1.02,1.81,1.52,1.85,6.5,6.66,7.6,6.75,8.48,8.28,12.52,9.16,12.89,26.77
