,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.49,0.15,0.23,0.17,0.18,0.11,0.22,0.12,0.23,0.23,0.19,,0.21,0.17,0.15,0.17
d_1,0.19,1.51,0.15,0.15,0.13,0.12,0.23,0.17,0.32,,0.18,0.25,0.19,0.16,0.21,0.16
e_1,0.18,0.18,1.51,0.13,0.15,0.13,0.22,0.17,0.2,0.31,0.16,0.16,0.24,0.14,0.22,
c_1,0.2,0.16,0.2,1.56,0.23,0.18,0.18,0.17,,0.22,0.14,0.19,0.21,0.16,0.22,0.15
b_1,0.17,0.23,0.15,0.19,1.59,0.23,0.22,0.17,0.18,0.2,,0.19,0.22,0.13,0.15,0.19
a_1,0.23,0.18,0.21,0.12,0.13,1.7,0.27,0.2,0.21,0.18,,,0.25,,0.21,
h_1,0.45,0.34,0.39,0.43,0.36,0.27,1.62,0.47,0.54,0.47,0.46,0.39,,0.27,0.63,0.41
g_1,0.49,0.52,0.37,0.36,0.38,0.34,0.44,1.72,0.49,0.32,0.47,0.57,0.49,0.49,,
c_0,0.48,0.42,0.48,,0.38,0.42,0.52,0.56,1.42,0.59,0.88,0.6,0.6,,0.6,0.33
d_0,0.52,,0.4,0.75,0.42,0.44,0.49,0.69,0.46,1.41,0.66,0.46,0.58,0.4,0.46,0.56
b_0,0.41,0.55,0.53,0.44,,,0.59,0.44,0.46,0.55,1.46,0.65,0.77,0.85,0.59,0.51
f_0,,0.43,0.5,0.46,0.51,,0.62,0.59,0.51,0.63,0.52,1.49,0.66,0.42,0.55,0.71
h_0,0.6,0.73,0.61,0.62,0.52,0.54,,0.76,0.84,0.67,0.58,0.54,,0.63,0.9,0.54
a_0,0.43,0.55,0.63,0.47,0.54,,0.71,0.42,,0.55,0.36,0.54,0.73,1.69,0.64,
g_0,0.7,0.76,0.51,0.54,0.63,0.58,0.56,,0.68,0.87,0.62,0.87,0.63,0.67,,0.7
e_0,0.43,0.5,,0.53,0.49,,0.58,,0.76,0.44,0.59,0.51,0.72,,0.6,1.65
