,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.91,0.46,0.36,0.47,0.34,0.24,0.33,0.64,0.36,0.31,0.32,0.28,0.36,0.21,0.29,0.14
f_1,0.67,0.92,0.39,0.35,0.31,0.2,0.34,0.4,0.34,0.32,0.34,0.2,0.33,0.19,0.29,0.18
d_1,0.45,0.45,0.92,0.34,0.32,0.24,0.37,0.24,0.64,0.28,0.41,0.29,0.34,0.25,0.33,0.2
c_1,0.39,0.39,0.38,0.92,0.58,0.25,0.33,0.37,0.25,0.25,0.24,0.25,0.36,0.19,0.32,0.23
b_1,0.38,0.36,0.43,0.38,0.91,0.49,0.37,0.34,0.34,0.27,0.24,0.29,0.32,0.2,0.3,0.22
a_1,0.36,0.42,0.39,0.42,0.37,0.89,0.45,0.4,0.39,0.29,0.37,0.33,0.37,0.22,0.3,0.23
h_1,0.42,0.55,0.5,0.4,0.33,0.21,0.67,0.39,0.42,0.42,0.35,0.29,0.26,0.24,0.39,0.24
d_0,0.42,0.43,0.34,0.66,0.43,0.24,0.36,0.56,0.26,0.35,0.31,0.29,0.38,0.2,0.32,0.23
c_0,0.46,0.44,0.49,0.33,0.33,0.25,0.44,0.38,0.56,0.38,0.64,0.34,0.34,0.37,0.34,0.25
g_1,0.46,0.45,0.54,0.39,0.34,0.22,0.39,0.41,0.41,0.64,0.37,0.43,0.29,0.25,0.27,0.27
b_0,0.51,0.48,0.45,0.4,0.29,0.22,0.4,0.38,0.41,0.38,0.56,0.34,0.41,0.49,0.33,0.24
f_0,0.38,0.44,0.46,0.46,0.41,0.27,0.5,0.39,0.43,0.34,0.36,0.52,0.37,0.31,0.37,0.46
h_0,0.46,0.58,0.46,0.38,0.38,0.22,0.32,0.41,0.39,0.43,0.33,0.33,0.3,0.25,0.41,0.21
a_0,0.49,0.48,0.46,0.41,0.36,0.21,0.42,0.35,0.39,0.4,0.39,0.3,0.38,0.51,0.38,0.23
g_0,0.41,0.4,0.65,0.4,0.39,0.2,0.36,0.34,0.44,0.27,0.36,0.44,0.37,0.28,0.24,0.23
e_0,0.39,0.46,0.5,0.4,0.36,0.27,0.47,0.3,0.45,0.39,0.36,0.32,0.4,0.26,0.38,0.44
