,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.78,0.44,0.61,0.81,0.58,0.49,0.97,1.69,0.8,0.89,1.03,1.11,0.97,1.09,0.67,0.84
d_1,0.57,2.95,0.67,0.5,0.57,0.56,0.91,0.42,0.93,1.78,1.06,1.2,0.98,0.87,1.06,1.2
f_1,1.01,0.61,2.92,0.59,0.6,0.51,0.77,0.87,0.75,0.82,1.04,0.32,1.11,1.05,0.72,0.82
c_1,0.54,0.6,0.64,3.12,1.13,0.51,0.87,0.97,0.78,0.24,0.71,0.81,0.78,0.89,0.87,1.04
b_1,0.56,0.66,0.67,0.5,3.52,1.33,0.85,0.79,0.97,0.88,0.33,0.9,0.96,0.59,0.9,0.81
a_1,0.69,0.64,0.64,0.7,0.52,5.05,0.83,0.67,0.88,0.95,0.81,0.84,0.93,0.33,0.84,0.91
h_1,0.61,0.88,1.04,0.73,0.71,0.65,2.97,0.97,1.33,0.97,1.26,0.9,0.58,1.15,1.17,1.41
d_0,0.76,0.35,0.73,1.49,0.69,0.7,1.24,2.17,1.03,0.76,1.35,0.87,1.25,1.23,1.0,1.14
g_1,0.62,1.17,0.55,0.8,0.61,0.67,1.07,0.94,3.59,1.01,1.06,2.16,0.88,1.0,1.23,0.69
c_0,0.69,1.0,0.9,0.32,0.57,0.68,1.1,1.21,1.11,2.5,2.3,1.31,1.5,1.29,1.29,1.27
b_0,0.81,0.87,0.82,0.87,0.33,0.48,1.23,1.23,1.1,1.01,2.61,1.17,1.41,2.51,1.17,1.09
f_0,0.75,0.96,0.4,0.75,0.69,0.77,1.23,1.05,1.39,1.31,1.36,2.96,1.11,1.45,2.76,1.25
h_0,0.73,0.96,0.91,0.9,0.51,0.72,0.64,1.1,1.47,1.02,1.0,1.12,0.72,1.26,1.2,1.78
a_0,0.72,0.89,0.78,0.87,0.78,0.24,1.21,1.04,1.41,1.09,1.06,1.28,1.51,3.15,1.38,0.98
e_0,0.41,0.93,0.83,0.72,0.72,0.58,1.36,1.4,1.31,1.13,1.33,1.15,1.57,1.46,4.02,1.66
g_0,0.55,1.32,0.78,0.68,0.7,0.64,1.13,1.02,0.73,1.33,1.28,1.61,1.23,1.16,1.34,0.73
