,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,1.81,1.04,1.88,1.94,1.35,0.52,0.32,0.58,0.39,0.3,0.38,0.25,0.34,1.61,0.34
d_1,2.52,0.17,1.66,1.65,1.54,1.63,0.43,1.42,0.28,0.3,0.3,0.33,0.19,0.32,0.35,0.16
f_1,1.71,1.51,0.16,1.71,1.49,1.62,0.33,0.34,0.58,0.27,0.35,1.62,0.2,0.33,0.32,0.23
c_1,1.42,2.06,1.68,0.15,2.02,1.35,0.48,0.18,0.42,1.61,0.3,0.35,0.22,0.28,0.42,0.3
b_1,1.68,1.72,1.71,0.84,0.13,1.97,0.49,0.45,0.52,0.38,1.84,0.37,0.32,0.41,0.46,0.24
a_1,2.22,1.79,1.86,1.78,0.81,0.09,0.48,0.35,0.47,0.43,0.55,0.33,0.21,2.05,0.37,0.23
h_1,0.87,0.96,1.02,0.95,0.91,1.09,0.07,0.18,0.31,0.2,0.17,0.17,0.42,0.19,0.14,0.13
d_0,0.47,2.36,0.95,0.91,0.99,1.32,0.34,0.08,0.3,0.2,0.17,0.2,0.15,0.17,0.13,0.16
g_1,0.99,0.91,1.14,1.11,0.83,0.99,0.23,0.2,0.06,0.18,0.24,0.15,0.11,0.16,0.15,0.33
c_0,0.91,0.45,1.03,5.21,0.97,0.89,0.36,0.25,0.27,0.07,0.2,0.16,0.21,0.19,0.16,0.11
b_0,0.86,0.91,0.82,1.16,2.58,1.06,0.21,0.17,0.3,0.1,0.06,0.14,0.16,0.15,0.13,0.12
f_0,0.75,0.7,3.18,1.05,0.97,1.02,0.27,0.22,0.15,0.15,0.16,0.06,0.16,0.2,0.19,0.1
h_0,0.86,0.87,0.8,1.11,0.93,0.99,0.99,0.17,0.4,0.16,0.15,0.2,0.28,0.12,0.13,0.1
a_0,0.77,0.96,0.82,0.93,1.71,,0.27,0.22,0.32,0.17,0.09,0.18,0.12,0.05,0.14,0.17
e_0,1.48,0.84,1.15,0.99,1.06,1.05,0.22,0.2,0.29,0.19,0.21,0.08,0.13,0.16,0.04,0.13
g_0,1.05,0.73,1.06,0.79,1.04,0.97,0.27,0.23,0.69,0.2,0.23,0.22,0.09,0.23,0.14,0.37
