,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.67,5.47,4.11,5.7,6.14,3.65,2.71,2.22,2.73,2.51,1.83,1.9,1.59,1.89,,1.92
d_1,8.78,0.66,6.27,5.56,5.26,5.3,2.42,,1.64,2.06,2.01,2.29,1.37,2.11,2.32,1.3
f_1,7.11,5.3,0.66,6.48,5.48,5.39,1.81,2.18,2.68,1.74,2.41,,1.51,2.47,1.82,1.7
c_1,5.81,7.02,5.91,0.65,7.64,4.66,2.67,1.47,2.37,,1.92,2.13,1.75,1.6,2.77,2.03
b_1,6.03,6.26,6.49,3.66,0.63,8.32,2.92,2.44,3.09,2.38,,2.22,2.03,2.52,2.49,1.62
a_1,12.04,8.94,7.55,7.11,4.34,0.57,2.94,2.17,2.98,2.91,,2.34,1.75,,,2.01
h_1,4.28,5.11,6.24,4.57,4.84,5.39,0.62,1.57,2.75,1.91,1.58,1.85,,1.71,1.47,1.24
d_0,3.2,,4.34,5.22,4.81,6.35,2.28,0.71,2.03,1.8,1.95,1.63,1.31,1.44,1.08,1.44
g_1,5.57,6.39,6.42,5.58,4.43,4.65,1.81,2.28,0.59,1.69,2.21,2.18,1.21,1.98,2.02,
c_0,4.46,3.5,5.44,,4.54,4.44,2.26,1.97,2.36,0.71,1.77,1.49,2.24,1.28,1.41,1.09
b_0,5.4,5.78,4.35,6.54,,,2.09,1.7,2.36,1.42,0.68,1.77,1.65,2.72,1.4,1.34
f_0,4.97,4.13,,5.87,4.85,6.25,2.27,2.36,1.56,1.76,1.8,0.68,1.65,1.82,2.33,1.35
h_0,4.9,5.65,4.75,5.27,4.35,3.95,,1.53,2.69,1.28,1.49,1.89,,1.19,1.65,1.31
a_0,5.83,5.76,4.82,7.06,7.39,,2.7,2.34,2.51,2.92,1.19,1.92,1.67,0.64,,
e_0,,5.14,6.2,5.52,5.64,,2.77,3.15,2.34,2.88,3.02,1.33,1.67,,0.6,1.58
g_0,5.47,4.64,4.92,3.7,5.76,5.41,2.82,1.97,,2.01,1.92,2.13,0.97,,1.6,
