,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,35.71,0.07,0.06,0.04,0.07,0.06,0.26,0.69,0.43,0.24,0.46,0.42,0.49,0.4,,0.6
f_1,0.12,36.66,0.06,0.07,0.07,0.08,0.24,0.39,0.42,0.25,0.39,,0.59,0.34,0.37,0.5
c_1,0.06,0.08,39.72,0.06,0.14,0.08,0.26,0.38,,0.31,0.22,0.46,0.7,0.38,0.38,0.57
d_1,0.05,0.06,0.05,40.99,0.08,0.05,0.32,,0.7,0.35,0.39,0.42,0.61,0.45,0.41,0.52
b_1,0.06,0.08,0.06,0.07,51.93,0.17,0.29,0.32,0.29,0.31,,0.39,0.64,,0.45,0.7
a_1,0.05,0.08,0.09,0.07,0.06,69.68,0.31,0.45,0.54,0.24,0.23,0.36,0.49,,,0.53
h_1,0.3,0.36,0.25,0.28,0.25,0.28,29.38,1.56,1.34,1.21,1.01,1.24,,1.75,1.82,2.42
d_0,0.36,0.32,0.83,,0.3,0.34,1.47,15.48,2.06,1.21,2.31,1.9,4.03,2.1,1.77,2.22
c_0,0.32,0.33,,0.41,0.26,0.44,1.5,2.36,17.7,1.25,4.08,2.3,2.96,1.37,1.93,3.13
g_1,0.21,0.21,0.22,0.42,0.23,0.23,1.31,1.44,1.13,36.97,1.01,2.98,1.8,1.69,1.51,
b_0,0.37,0.37,0.37,0.4,,0.22,1.37,2.38,1.64,1.4,20.5,1.15,3.25,3.2,1.93,3.58
f_0,0.39,,0.4,0.21,0.37,0.3,2.19,1.92,2.16,1.41,2.04,22.23,2.57,2.2,3.51,3.45
h_0,0.47,0.67,0.49,0.61,0.75,0.38,,3.57,3.02,3.06,2.87,2.1,,2.67,3.09,6.5
a_0,0.48,0.36,0.32,0.29,0.26,,1.95,1.64,2.31,1.29,2.23,2.21,3.18,30.0,1.95,
e_0,,0.38,0.31,0.26,0.3,,1.57,2.22,2.41,2.32,1.95,2.42,3.47,2.33,31.1,3.14
g_0,0.49,0.44,0.54,1.22,0.57,0.44,2.38,2.15,2.21,,3.01,3.36,5.75,,3.14,
