,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.7,0.98,1.13,1.02,0.69,0.46,0.51,0.58,0.45,0.44,0.39,0.32,0.37,0.4,0.35
f_1,1.43,1.0,0.87,0.9,0.85,0.67,0.45,0.48,0.4,0.42,0.44,0.41,0.35,0.32,0.27,0.31
d_1,1.02,1.15,1.0,0.92,0.86,0.71,0.5,0.34,0.61,0.56,0.4,0.48,0.37,0.37,0.31,0.35
c_1,0.88,1.11,1.09,1.0,1.23,0.87,0.46,0.42,0.34,0.3,0.4,0.35,0.34,0.32,0.33,0.31
b_1,0.98,1.18,1.16,0.81,1.0,1.12,0.52,0.53,0.45,0.48,0.35,0.39,0.49,0.36,0.34,0.4
a_1,1.45,1.49,1.4,1.15,0.89,1.0,0.66,0.71,0.58,0.61,0.56,0.52,0.47,0.44,0.41,0.41
h_1,2.13,2.23,2.01,2.18,1.92,1.48,1.0,0.92,0.85,0.79,0.81,0.82,0.59,0.49,0.73,0.54
g_1,1.97,2.07,2.73,2.44,1.9,1.3,1.08,1.0,0.86,0.75,1.09,0.87,0.66,0.68,0.73,0.64
d_0,1.7,2.65,1.66,3.02,2.14,1.62,1.21,1.15,1.0,0.88,1.13,0.79,0.83,0.74,0.8,0.6
c_0,2.27,2.37,1.93,3.3,2.17,1.59,1.28,1.39,1.1,1.0,1.24,1.48,0.88,0.85,0.82,0.85
f_0,2.18,2.23,2.48,2.61,2.88,1.7,1.2,0.9,0.9,0.84,1.0,0.83,0.79,1.33,0.61,0.78
b_0,2.63,2.25,2.06,3.01,2.63,1.96,1.24,1.21,1.23,0.64,1.18,1.0,0.95,0.81,1.01,1.08
h_0,2.91,3.06,2.91,2.88,2.12,2.14,1.69,1.49,1.12,1.06,1.28,1.03,1.0,0.85,1.26,0.79
e_0,2.66,3.32,2.66,3.36,2.75,2.35,1.84,1.48,1.47,1.25,0.77,1.1,1.18,1.0,0.89,0.9
g_0,2.59,3.55,3.23,3.0,2.95,2.39,1.36,1.39,1.21,1.22,1.54,1.04,0.8,1.05,1.0,0.84
a_0,2.86,3.26,3.01,3.19,2.49,2.42,1.87,1.56,1.36,1.22,1.3,0.95,1.27,1.1,1.14,1.0
