,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.74,0.94,1.3,1.09,0.96,0.99,1.1,1.38,1.02,1.17,1.05,1.01,1.09,1.16,1.09
f_1,1.35,1.0,0.9,0.91,0.97,0.81,0.91,1.1,0.95,0.95,0.93,1.01,0.88,0.87,0.92,0.91
d_1,1.07,1.12,1.0,0.91,0.91,0.94,1.03,0.81,1.2,1.22,0.96,1.12,0.98,1.03,0.93,1.03
c_1,0.78,1.1,1.1,1.0,1.31,1.05,1.01,0.92,0.72,0.7,0.92,0.83,0.99,0.94,0.95,0.91
b_1,0.93,1.02,1.1,0.77,1.0,1.37,1.02,1.05,1.03,1.09,0.86,0.89,1.2,1.06,1.04,1.03
a_1,1.04,1.2,1.06,0.96,0.73,1.0,1.11,1.2,1.02,1.14,1.1,1.05,1.05,0.9,1.04,1.05
h_1,0.97,1.15,0.99,0.98,1.01,0.87,1.0,1.11,0.95,0.98,0.94,1.01,1.03,0.79,1.1,0.91
g_1,0.9,0.9,1.21,1.09,0.95,0.86,0.88,1.0,0.87,0.95,1.3,1.06,0.88,1.06,0.96,0.89
d_0,0.72,1.05,0.79,1.38,0.93,0.95,1.04,1.12,1.0,0.84,1.08,0.88,1.0,1.02,1.03,1.02
c_0,1.02,1.03,0.81,1.32,0.89,0.88,1.04,1.12,1.15,1.0,1.1,1.43,1.09,1.07,1.0,1.14
f_0,0.82,1.15,1.02,1.07,1.14,0.96,1.0,0.78,0.94,0.95,1.0,0.94,0.97,1.52,0.81,1.05
b_0,1.0,1.0,0.89,1.22,1.11,0.96,0.98,0.98,1.13,0.67,1.08,1.0,1.1,1.06,1.11,1.37
h_0,0.95,1.13,1.06,1.0,0.87,0.94,0.97,1.13,0.94,0.87,1.06,0.89,1.0,0.92,1.18,0.92
e_0,0.88,1.26,1.02,1.05,0.87,1.09,1.17,0.94,1.11,0.97,0.63,0.91,1.13,1.0,0.95,0.83
g_0,0.93,1.03,1.12,1.04,0.93,0.9,0.9,1.08,0.92,0.95,1.21,0.94,0.82,1.07,1.0,0.95
a_0,0.93,1.08,1.02,1.06,1.04,0.89,1.1,1.15,0.9,0.89,0.95,0.73,1.08,1.11,1.05,1.0
