,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,10111.45,4947.92,5151.59,8939.58,11808.42,44295.82,6856848.23,28047209.95,12474214.77,17977973.32,28167622.77,31942794.32,168553295.32,186230917.86,341441607.48,158518901.0
f_1,6266.41,13203.42,5168.84,7921.12,11144.97,32538.44,6381357.73,16940849.46,13359655.67,18630225.77,29802496.07,17958974.33,164290213.99,206574923.51,272525853.44,170175844.18
d_1,3618.82,5266.98,15884.66,5901.9,11150.44,37099.82,7065289.11,9158113.44,18069122.66,37822797.22,31298397.07,31605580.92,165302115.9,276748124.36,338952616.1,239590805.78
c_1,3110.91,4632.87,4482.07,24077.69,25092.56,46477.81,6544050.91,17374163.69,13663898.07,11160434.0,20627248.73,30465404.2,147276043.76,221785717.34,301239114.6,239365983.02
b_1,3429.49,4442.01,5224.58,7963.68,45628.05,85486.32,6828917.91,15776984.11,12468090.79,17900543.81,16866923.57,33087708.39,132022020.27,155432329.93,278224636.27,276903514.96
a_1,3988.1,5441.35,5046.06,8375.92,13035.26,203043.07,6596307.84,17401426.24,14160903.06,16288178.03,23585256.16,30939191.48,171176451.84,128916098.89,325235357.11,227627051.77
h_1,3948.54,6706.58,6903.39,7211.65,12328.76,48562.42,15380786.92,17868804.29,19110929.55,20505267.01,31591788.93,36058272.95,124339466.27,232267283.69,506713232.68,254348967.1
d_0,3634.26,5592.85,3634.12,16620.77,17409.22,37291.66,7011004.38,28794205.55,13745710.82,12258700.86,29849661.18,32188299.33,177533932.31,256659164.26,352976804.32,266503612.3
g_1,3399.85,4929.96,9495.13,8633.26,12873.98,39072.79,6751713.37,15432674.2,41010471.72,24448230.68,32211186.57,52106453.72,172399158.85,274044781.93,251952473.15,304477922.44
c_0,3948.28,6135.61,6700.58,6720.43,9638.45,50464.67,9236055.43,15990640.58,18245052.05,38438173.29,57676924.26,39662310.9,203581226.45,327717916.79,427769775.29,310169098.56
b_0,3993.31,5855.33,6727.73,8802.75,8125.52,41553.08,8041939.61,19840671.27,17059109.68,21915247.37,56216839.22,39307924.64,206214231.33,536576427.99,405227101.63,300075331.84
f_0,3228.91,4592.4,6425.51,9402.54,15789.48,48012.21,8381451.17,19759650.96,18171855.5,19807872.04,36070176.24,67637495.17,185354267.6,275557467.68,441793184.44,537886585.51
h_0,4165.81,7209.14,6215.26,8919.18,12591.01,38471.47,5200061.66,17423793.8,20573753.07,19150107.48,31788122.63,36788391.13,127426775.25,240280991.46,427699649.09,267899305.12
a_0,4311.5,6587.33,6390.58,9664.53,12925.97,23384.53,8317512.38,17414065.89,16960868.71,21640019.31,34591817.43,40005033.14,239293197.21,543237753.31,372764032.99,250372839.86
g_0,3612.41,4331.78,9231.68,9026.8,14633.61,44736.7,6855785.4,16962972.98,12863179.84,18610337.3,29504364.17,53227985.27,169696299.84,243739988.11,357708994.44,367899481.47
e_0,2505.36,5835.65,6107.69,11253.3,15287.55,57199.97,7320867.86,16571152.2,17435004.45,19126507.0,30894115.26,35328388.42,189613705.93,278038821.0,324912231.57,624576648.1
