,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.68,4.1,5.48,6.27,5.58,5.9,2.68,2.39,2.48,1.92,2.67,1.84,1.32,2.02,,1.34
f_1,6.08,0.67,5.88,5.21,5.68,4.08,2.23,2.58,2.0,2.22,,2.18,1.28,2.02,1.59,1.78
d_1,7.73,5.51,0.66,5.4,8.56,5.06,2.46,1.88,,2.57,2.27,2.1,1.91,1.54,2.38,1.01
c_1,6.81,6.45,7.23,0.64,7.49,4.53,2.14,3.7,1.36,,1.98,2.14,1.59,2.66,3.13,1.73
b_1,5.7,6.36,5.27,3.97,0.63,6.65,2.96,3.52,1.98,2.43,3.53,,2.08,2.37,1.99,1.99
a_1,7.03,9.59,7.99,8.36,5.06,0.56,3.12,,2.74,2.7,,2.46,,,,2.6
h_1,4.98,4.98,4.87,6.29,4.21,4.95,0.62,2.72,1.73,2.0,1.43,1.77,,1.51,1.31,1.24
g_1,5.48,5.17,5.56,5.66,4.71,,1.65,0.59,2.12,1.65,3.07,2.11,1.38,1.68,1.98,
d_0,2.72,5.59,,6.16,4.83,4.52,2.1,2.41,0.72,2.32,1.61,1.47,1.28,1.79,1.65,1.47
c_0,6.05,5.33,2.89,,3.96,3.95,1.98,2.66,1.58,0.69,1.91,2.21,1.58,2.52,1.43,1.61
f_0,4.71,,5.7,4.82,4.36,,2.84,1.17,1.78,1.71,0.67,2.1,1.38,1.82,2.65,1.65
b_0,6.07,5.17,5.6,5.99,,5.12,3.15,1.91,2.22,1.16,1.42,0.67,1.48,2.04,1.95,1.65
h_0,5.2,4.76,4.01,4.34,4.1,,,2.14,1.6,1.59,1.71,1.61,,1.23,1.38,1.33
a_0,5.65,6.64,7.26,4.41,6.59,,3.76,3.0,2.28,1.98,1.85,1.4,2.06,0.63,1.72,1.27
e_0,,6.56,6.6,4.84,6.48,,2.62,2.18,2.45,3.0,1.08,1.94,2.44,1.69,0.62,1.78
g_0,8.49,4.36,6.2,4.38,5.05,3.72,1.87,,2.03,1.65,1.48,1.93,1.28,2.16,1.54,
